"","status","family","pval","qval","gene_short_name","num_cells_expressed"
"CSK","OK","negbinomial.size",0.00313296813259138,0.0078831228574771,"CSK",11043
"AK8","OK","negbinomial.size",0.00313530958578501,0.00788798903717708,"AK8",22
"AL080317.2","OK","negbinomial.size",0.00313673019028758,0.00789053753000606,"AL080317.2",177
"COA8","OK","negbinomial.size",0.00314476628541163,0.00790972466043567,"COA8",5152
"ZIK1","OK","negbinomial.size",0.00315188882613642,0.00792660932928707,"ZIK1",69
"ADCY7","OK","negbinomial.size",0.00315459255175563,0.00793231133361667,"ADCY7",6330
"AC068025.2","OK","negbinomial.size",0.00315497571718318,0.00793231133361667,"AC068025.2",156
"AC110995.1","OK","negbinomial.size",0.00316116964408972,0.00794685205203179,"AC110995.1",19
"LINC02611","OK","negbinomial.size",0.00316401045290307,0.00795296069820086,"LINC02611",102
"ANO9","OK","negbinomial.size",0.003165038626731,0.00795451216536381,"ANO9",74
"COQ9","OK","negbinomial.size",0.0031670416245145,0.00795851288143934,"COQ9",1216
"NRN1","OK","negbinomial.size",0.00317377442432088,0.00797439661624861,"NRN1",101
"CLDN12","OK","negbinomial.size",0.00317541981443394,0.00797749530798155,"CLDN12",53
"GOLGA3","OK","negbinomial.size",0.0031839428023155,0.00799786929982106,"GOLGA3",3670
"KCNC3","OK","negbinomial.size",0.0031874697197784,0.00800568981001045,"KCNC3",382
"RPUSD4","OK","negbinomial.size",0.00318853940921989,0.00800629878638857,"RPUSD4",950
"LMF1","OK","negbinomial.size",0.00318835338119199,0.00800629878638857,"LMF1",683
"C9orf131","OK","negbinomial.size",0.00319745492471145,0.0080276439659714,"C9orf131",54
"KCNK12","OK","negbinomial.size",0.00320460144889994,0.00804454289279681,"KCNK12",35
"LPIN2","OK","negbinomial.size",0.00320506157223621,0.00804465467502285,"LPIN2",3266
"ELOB","OK","negbinomial.size",0.00320603384050255,0.00804605173740541,"ELOB",17497
"AC097658.3","OK","negbinomial.size",0.00320652528374498,0.00804624188714695,"AC097658.3",40
"AC073167.1","OK","negbinomial.size",0.00321107690648312,0.00805661901215732,"AC073167.1",22
"RELT","OK","negbinomial.size",0.00321594789507235,0.00806779463516271,"RELT",8637
"NFE2L1","OK","negbinomial.size",0.00321702474755057,0.00806945030949027,"NFE2L1",2685
"ZNF75A","OK","negbinomial.size",0.00322023334491678,0.00807645204166289,"ZNF75A",1370
"POP1","OK","negbinomial.size",0.00322070606739506,0.00807659118364636,"POP1",210
"SHC3","OK","negbinomial.size",0.00322267267371253,0.00808047602915201,"SHC3",17
"AC009113.1","OK","negbinomial.size",0.0032254769433873,0.00808645993953478,"AC009113.1",265
"SLCO4A1","OK","negbinomial.size",0.00323954938977804,0.00812068862185102,"SLCO4A1",86
"EIF5AL1","OK","negbinomial.size",0.003246442354649,0.00813691371991981,"EIF5AL1",763
"BIK","OK","negbinomial.size",0.00325691916029351,0.00816211602612655,"BIK",361
"RNF32","OK","negbinomial.size",0.00325785668171088,0.00816340864567993,"RNF32",61
"SLC30A1","OK","negbinomial.size",0.00326197014068842,0.00817265803951665,"SLC30A1",3711
"EGR3","OK","negbinomial.size",0.00326330726200181,0.00817495000266197,"EGR3",1495
"AC096733.2","OK","negbinomial.size",0.0032649325195209,0.00817796309269746,"AC096733.2",1250
"S100A16","OK","negbinomial.size",0.00326645091243102,0.0081807077645138,"S100A16",43
"FOXN2","OK","negbinomial.size",0.00327415694260333,0.00819894643440784,"FOXN2",6443
"SMIM2-AS1","OK","negbinomial.size",0.0032782555529359,0.00820814807116547,"SMIM2-AS1",82
"TMEM237","OK","negbinomial.size",0.00328454339593969,0.00822176471165195,"TMEM237",98
"BRAF","OK","negbinomial.size",0.00328413201173733,0.00822176471165195,"BRAF",5698
"TAF1C","OK","negbinomial.size",0.00328569782712562,0.00822359100590518,"TAF1C",1190
"DPP3","OK","negbinomial.size",0.00329969601353319,0.00825755859521164,"DPP3",1203
