"","status","family","pval","qval","gene_short_name","num_cells_expressed"
"RBP7","OK","negbinomial.size",0,0,"RBP7",9972
"CD52","OK","negbinomial.size",0,0,"CD52",13003
"IFI6","OK","negbinomial.size",0,0,"IFI6",9712
"IFI44L","OK","negbinomial.size",0,0,"IFI44L",6235
"CTSS","OK","negbinomial.size",0,0,"CTSS",18740
"S100A10","OK","negbinomial.size",0,0,"S100A10",18488
"S100A12","OK","negbinomial.size",0,0,"S100A12",15981
"LMNA","OK","negbinomial.size",0,0,"LMNA",8872
"SELL","OK","negbinomial.size",0,0,"SELL",12815
"PTPRC","OK","negbinomial.size",0,0,"PTPRC",18841
"G0S2","OK","negbinomial.size",0,0,"G0S2",13215
"NLRP3","OK","negbinomial.size",0,0,"NLRP3",13633
"ID2","OK","negbinomial.size",0,0,"ID2",16136
"TMSB10","OK","negbinomial.size",0,0,"TMSB10",19859
"IL1B","OK","negbinomial.size",0,0,"IL1B",15682
"IL1RN","OK","negbinomial.size",0,0,"IL1RN",9152
"ZEB2","OK","negbinomial.size",0,0,"ZEB2",18945
"CCL20","OK","negbinomial.size",0,0,"CCL20",1420
"ARL4C","OK","negbinomial.size",0,0,"ARL4C",7643
"NFKBIZ","OK","negbinomial.size",0,0,"NFKBIZ",18468
"PARP14","OK","negbinomial.size",0,0,"PARP14",9437
"CXCL8","OK","negbinomial.size",0,0,"CXCL8",18325
"CXCL2","OK","negbinomial.size",0,0,"CXCL2",11372
"AREG","OK","negbinomial.size",0,0,"AREG",6128
"RPL37","OK","negbinomial.size",0,0,"RPL37",19854
"LUCAT1","OK","negbinomial.size",0,0,"LUCAT1",11529
"PHACTR1","OK","negbinomial.size",0,0,"PHACTR1",14060
"CD83","OK","negbinomial.size",0,0,"CD83",16256
"HIST1H1C","OK","negbinomial.size",0,0,"HIST1H1C",5539
"IER3","OK","negbinomial.size",0,0,"IER3",15836
"HLA-C","OK","negbinomial.size",0,0,"HLA-C",18792
"HLA-DRB5","OK","negbinomial.size",0,0,"HLA-DRB5",8321
"SNHG5","OK","negbinomial.size",0,0,"SNHG5",14609
"PNRC1","OK","negbinomial.size",0,0,"PNRC1",19201
"SGK1","OK","negbinomial.size",0,0,"SGK1",16334
"TNFAIP3","OK","negbinomial.size",0,0,"TNFAIP3",17632
"SOD2","OK","negbinomial.size",0,0,"SOD2",18728
"AHR","OK","negbinomial.size",0,0,"AHR",15368
"CEBPD","OK","negbinomial.size",0,0,"CEBPD",17930
"AZIN1-AS1","OK","negbinomial.size",0,0,"AZIN1-AS1",7095
"LY6E","OK","negbinomial.size",0,0,"LY6E",11533
"KLF4","OK","negbinomial.size",0,0,"KLF4",17168
"HSPA5","OK","negbinomial.size",0,0,"HSPA5",15553
"PPA1","OK","negbinomial.size",0,0,"PPA1",8878
"SHTN1","OK","negbinomial.size",0,0,"SHTN1",9427
"IFITM3","OK","negbinomial.size",0,0,"IFITM3",12730
"LSP1","OK","negbinomial.size",0,0,"LSP1",15404
"HBB","OK","negbinomial.size",0,0,"HBB",14933
"NEAT1","OK","negbinomial.size",0,0,"NEAT1",20220
"MALAT1","OK","negbinomial.size",0,0,"MALAT1",20314
"FOLR3","OK","negbinomial.size",0,0,"FOLR3",3097
"LRRK2","OK","negbinomial.size",0,0,"LRRK2",11861
"PHLDA1","OK","negbinomial.size",0,0,"PHLDA1",6322
"DUSP6","OK","negbinomial.size",0,0,"DUSP6",16695
"ALDH2","OK","negbinomial.size",0,0,"ALDH2",11311
"RPL21","OK","negbinomial.size",0,0,"RPL21",19022
"RNASE2","OK","negbinomial.size",0,0,"RNASE2",9915
"NFKBIA","OK","negbinomial.size",0,0,"NFKBIA",19755
"FOS","OK","negbinomial.size",0,0,"FOS",20120
"CRIP1","OK","negbinomial.size",0,0,"CRIP1",16001
"SERF2","OK","negbinomial.size",0,0,"SERF2",19268
"RPLP1","OK","negbinomial.size",0,0,"RPLP1",20100
"BCL2A1","OK","negbinomial.size",0,0,"BCL2A1",16643
"HBA2","OK","negbinomial.size",0,0,"HBA2",13703
"HBA1","OK","negbinomial.size",0,0,"HBA1",11645
"XAF1","OK","negbinomial.size",0,0,"XAF1",9414
"SNHG29","OK","negbinomial.size",0,0,"SNHG29",16341
"CCL3","OK","negbinomial.size",0,0,"CCL3",15478
"CCL4","OK","negbinomial.size",0,0,"CCL4",6162
"CCL3L1","OK","negbinomial.size",0,0,"CCL3L1",14291
"HOXB-AS3","OK","negbinomial.size",0,0,"HOXB-AS3",1583
"MPO","OK","negbinomial.size",0,0,"MPO",5020
"H3F3B","OK","negbinomial.size",0,0,"H3F3B",19888
"AZU1","OK","negbinomial.size",0,0,"AZU1",5433
"CFD","OK","negbinomial.size",0,0,"CFD",18226
"STXBP2","OK","negbinomial.size",0,0,"STXBP2",15485
"HCST","OK","negbinomial.size",0,0,"HCST",17714
"PPP1R15A","OK","negbinomial.size",0,0,"PPP1R15A",19108
"TNNT1","OK","negbinomial.size",0,0,"TNNT1",5178
"CD93","OK","negbinomial.size",0,0,"CD93",11443
"CST3","OK","negbinomial.size",0,0,"CST3",19092
"ITGB2","OK","negbinomial.size",0,0,"ITGB2",18220
"S100B","OK","negbinomial.size",0,0,"S100B",900
"TIMP1","OK","negbinomial.size",0,0,"TIMP1",16121
"RBM3","OK","negbinomial.size",0,0,"RBM3",16778
"RPS4X","OK","negbinomial.size",0,0,"RPS4X",19367
"XIST","OK","negbinomial.size",0,0,"XIST",8100
"RPS4Y1","OK","negbinomial.size",0,0,"RPS4Y1",8579
"DDX3Y","OK","negbinomial.size",0,0,"DDX3Y",7334
"MT-CO1","OK","negbinomial.size",0,0,"MT-CO1",20156
"MT-CO2","OK","negbinomial.size",0,0,"MT-CO2",20222
"MT-ND4","OK","negbinomial.size",0,0,"MT-ND4",20102
"ISG15","OK","negbinomial.size",2.96439387504748e-323,6.17087991655717e-321,"ISG15",9332
"DDX5","OK","negbinomial.size",3.50786608547285e-322,7.22373380784487e-320,"DDX5",19710
"CTSG","OK","negbinomial.size",6.27463370218383e-322,1.27849367174339e-319,"CTSG",1088
"HOXB6","OK","negbinomial.size",2.0207284914907e-321,4.07450997468818e-319,"HOXB6",1608
"AQP9","OK","negbinomial.size",2.19847700669807e-317,4.38720818810137e-315,"AQP9",8716
"HIST1H1E","OK","negbinomial.size",4.0158387751044e-315,7.93210113976538e-313,"HIST1H1E",5077
"EIF2AK2","OK","negbinomial.size",2.47827780275943e-314,4.84565893212106e-312,"EIF2AK2",8426
"SLC24A4","OK","negbinomial.size",1.4087550851367e-311,2.72692721829911e-309,"SLC24A4",9906
"SLC11A1","OK","negbinomial.size",3.73277094050732e-310,7.15398486093071e-308,"SLC11A1",15135
"CLEC11A","OK","negbinomial.size",2.10979382788373e-299,4.00385089473975e-297,"CLEC11A",2873
"RNF213","OK","negbinomial.size",8.82432187120246e-299,1.65837280059093e-296,"RNF213",13253
"FOSB","OK","negbinomial.size",1.35546167765874e-298,2.52285304754233e-296,"FOSB",19748
"NKG7","OK","negbinomial.size",6.28338617005724e-298,1.15835720089332e-295,"NKG7",5053
"TGFBI","OK","negbinomial.size",5.13198673878077e-295,9.37168559458296e-293,"TGFBI",7706
"BASP1","OK","negbinomial.size",1.0302703203593e-294,1.86382641039206e-292,"BASP1",9944
"MT-ND5","OK","negbinomial.size",9.79659370198081e-289,1.75585800267817e-286,"MT-ND5",19416
"IFI44","OK","negbinomial.size",9.44882407389809e-288,1.67798979448115e-285,"IFI44",5891
"SH3BGRL3","OK","negbinomial.size",9.61048246664154e-288,1.69118281006164e-285,"SH3BGRL3",19383
"IGFBP7","OK","negbinomial.size",5.91690192090992e-286,1.03183306741489e-283,"IGFBP7",6585
"AP1S2","OK","negbinomial.size",1.49636306691496e-284,2.58616963270293e-282,"AP1S2",17105
"OAS3","OK","negbinomial.size",1.55073507099288e-282,2.65642289993001e-280,"OAS3",4353
"RPL36A","OK","negbinomial.size",1.56488636868223e-280,2.6571495998756e-278,"RPL36A",19225
"PTMA","OK","negbinomial.size",6.54198757440138e-279,1.10115872589294e-276,"PTMA",19793
"MT-ND3","OK","negbinomial.size",5.8900513095533e-278,9.8287692412951e-276,"MT-ND3",20091
"SULT1A1","OK","negbinomial.size",6.23155575297673e-278,1.03097627957582e-275,"SULT1A1",13078
"SOX4","OK","negbinomial.size",1.84598603145964e-277,3.02819928906476e-275,"SOX4",6543
"RPL23","OK","negbinomial.size",3.91082946078117e-275,6.36150637582699e-273,"RPL23",18964
"TAGAP","OK","negbinomial.size",1.86474585352036e-272,3.00799045721614e-270,"TAGAP",13788
"JMJD1C","OK","negbinomial.size",5.70971498746859e-271,9.13412834813467e-269,"JMJD1C",16148
"EIF4E","OK","negbinomial.size",1.88724581675987e-265,2.99437846516564e-263,"EIF4E",11010
"MX2","OK","negbinomial.size",8.24345180002309e-264,1.29730484953697e-261,"MX2",9550
"VEGFA","OK","negbinomial.size",4.63676803068122e-263,7.23821925563681e-261,"VEGFA",8150
"SRGN","OK","negbinomial.size",1.12508705023237e-262,1.74226480250783e-260,"SRGN",19912
"PLAC8","OK","negbinomial.size",1.48086260272183e-262,2.27500455562591e-260,"PLAC8",12397
"CD99","OK","negbinomial.size",2.32187357849963e-262,3.53893754795412e-260,"CD99",12719
"HLA-E","OK","negbinomial.size",9.39392609876048e-262,1.42061115229458e-259,"HLA-E",18571
"B2M","OK","negbinomial.size",1.01640891320012e-260,1.52516490952052e-258,"B2M",20178
"IGHG4","OK","negbinomial.size",5.56600873950954e-256,8.28778701312971e-254,"IGHG4",1404
"EEF1D","OK","negbinomial.size",1.64665846939713e-254,2.43315786199392e-252,"EEF1D",17629
"GIHCG","OK","negbinomial.size",6.36949268789036e-250,9.34047499693135e-248,"GIHCG",2677
"TNF","OK","negbinomial.size",4.15634161284086e-249,6.04919583456847e-247,"TNF",6876
"MARCKS","OK","negbinomial.size",2.36381611162907e-248,3.41465585617939e-246,"MARCKS",17115
"MX1","OK","negbinomial.size",2.26771449696341e-247,3.25156663094227e-245,"MX1",5662
"HOXB3","OK","negbinomial.size",6.37706997399476e-245,9.07653996225121e-243,"HOXB3",1375
"LYPD2","OK","negbinomial.size",1.35102760217582e-244,1.90889352520565e-242,"LYPD2",330
"RPL32","OK","negbinomial.size",6.68962485014399e-243,9.38341074088676e-241,"RPL32",19709
"MRPL41","OK","negbinomial.size",2.44964164883913e-241,3.41134628752367e-239,"MRPL41",6109
"PPIF","OK","negbinomial.size",7.41968446458603e-241,1.02587737272137e-238,"PPIF",13217
"CLEC7A","OK","negbinomial.size",2.53848720627022e-239,3.48492885473565e-237,"CLEC7A",15980
"HINT1","OK","negbinomial.size",3.56223651789041e-239,4.8559304420285e-237,"HINT1",14622
"HOXB7","OK","negbinomial.size",1.88328380401948e-237,2.54928144016819e-235,"HOXB7",580
"SERPINB2","OK","negbinomial.size",8.18247836804583e-237,1.09991829007127e-234,"SERPINB2",4082
"TMEM176B","OK","negbinomial.size",7.4362503845912e-236,9.9271378410022e-234,"TMEM176B",12611
"MIF","OK","negbinomial.size",1.62092362826326e-231,2.14905607344466e-229,"MIF",14716
"RPS8","OK","negbinomial.size",4.20142788535223e-231,5.53245167188865e-229,"RPS8",19667
"FCER1G","OK","negbinomial.size",1.11657309874822e-229,1.46037199138307e-227,"FCER1G",18408
"CSF3R","OK","negbinomial.size",5.07755686073692e-227,6.59639383579091e-225,"CSF3R",16620
"HOXA9","OK","negbinomial.size",8.26566794742547e-225,1.06665689638876e-222,"HOXA9",2331
"TMA7","OK","negbinomial.size",1.06030275213048e-222,1.3592238657609e-220,"TMA7",18492
"ZEB2-AS1","OK","negbinomial.size",3.53846618724687e-222,4.50619013069327e-220,"ZEB2-AS1",7812
"FOXC1","OK","negbinomial.size",9.37887714887328e-221,1.18658120895909e-218,"FOXC1",578
"ATP8B4","OK","negbinomial.size",2.36530341911702e-219,2.9730635249252e-217,"ATP8B4",3670
"RAP1B","OK","negbinomial.size",9.77230806155079e-219,1.22040365901573e-216,"RAP1B",16650
"LYZ","OK","negbinomial.size",1.77308039503935e-217,2.20009725684466e-215,"LYZ",19793
"HBD","OK","negbinomial.size",4.7921773973446e-217,5.90841897327385e-215,"HBD",2907
"TKTL1","OK","negbinomial.size",1.66108167780326e-216,2.03503531881252e-214,"TKTL1",564
"ACTG1","OK","negbinomial.size",2.66332933894074e-216,3.24239408892302e-214,"ACTG1",18727
"PLIN2","OK","negbinomial.size",3.27334205678732e-216,3.96013013707701e-214,"PLIN2",11886
"RPS27L","OK","negbinomial.size",4.78699600962037e-216,5.75539638249823e-214,"RPS27L",13143
"LCP2","OK","negbinomial.size",3.88972963090912e-214,4.64774669540172e-212,"LCP2",12445
"HOXB5","OK","negbinomial.size",6.56634492317662e-214,7.79783672870735e-212,"HOXB5",1485
"MTMR11","OK","negbinomial.size",4.84455084401608e-213,5.71804699314752e-211,"MTMR11",4739
"TMEM176A","OK","negbinomial.size",2.58475584132646e-212,3.03231023154887e-210,"TMEM176A",10834
"MRPL33","OK","negbinomial.size",1.75444039822151e-211,2.04582546917914e-209,"MRPL33",12946
"CCL4L2","OK","negbinomial.size",4.07459972542767e-210,4.72287586138344e-208,"CCL4L2",5834
"AL355075.4","OK","negbinomial.size",3.39005788350354e-209,3.90603276493916e-207,"AL355075.4",6313
"CCL5","OK","negbinomial.size",1.42811993580419e-207,1.63574660339419e-205,"CCL5",5306
"TXNIP","OK","negbinomial.size",4.34764423474931e-207,4.95043232070837e-205,"TXNIP",16225
"HOXA5","OK","negbinomial.size",6.05064908565909e-207,6.84926399714053e-205,"HOXA5",943
"STX11","OK","negbinomial.size",5.50905422848089e-206,6.19992806399446e-204,"STX11",16166
"APOC2","OK","negbinomial.size",6.44500789022199e-206,7.21133050468365e-204,"APOC2",519
"LINC00278","OK","negbinomial.size",8.51051959858678e-206,9.46770849826692e-204,"LINC00278",2926
"CNTNAP3","OK","negbinomial.size",3.46492988347813e-205,3.8326084431135e-203,"CNTNAP3",795
"MEGF9","OK","negbinomial.size",4.08914570215856e-204,4.49736325890245e-202,"MEGF9",12595
"QPCT","OK","negbinomial.size",5.68388072118183e-204,6.21598187118173e-202,"QPCT",7767
"BST1","OK","negbinomial.size",7.20344174713879e-203,7.83354055614413e-201,"BST1",11757
"EEF1B2","OK","negbinomial.size",1.58459593086926e-200,1.71357672814728e-198,"EEF1B2",17162
"DBI","OK","negbinomial.size",6.27901931541956e-200,6.75238760492091e-198,"DBI",15802
"CKAP4","OK","negbinomial.size",5.13380979008433e-199,5.49034011639018e-197,"CKAP4",10658
"RPS18","OK","negbinomial.size",1.48082267778384e-198,1.57496069087153e-196,"RPS18",19677
"VAMP8","OK","negbinomial.size",8.17843533822014e-197,8.65081818808346e-195,"VAMP8",15178
"EREG","OK","negbinomial.size",3.29380345424538e-195,3.4651170360776e-193,"EREG",12573
"DSE","OK","negbinomial.size",1.86640660525004e-194,1.95286663015271e-192,"DSE",7350
"SMCHD1","OK","negbinomial.size",4.97716362226811e-194,5.17972882990558e-192,"SMCHD1",13092
"PSAP","OK","negbinomial.size",6.05234552514919e-194,6.26498675563171e-192,"PSAP",18538
"ANXA1","OK","negbinomial.size",1.77096194620979e-192,1.82343140387143e-190,"ANXA1",19200
"AC253572.2","OK","negbinomial.size",2.2370994303389e-192,2.2911922578344e-190,"AC253572.2",12304
"TLR2","OK","negbinomial.size",5.50711279775679e-190,5.61058854874622e-188,"TLR2",11996
"RPS24","OK","negbinomial.size",2.10175176882597e-189,2.13003188424944e-187,"RPS24",19800
"GNLY","OK","negbinomial.size",4.37679303176425e-189,4.41258243311774e-187,"GNLY",2286
"PNPLA8","OK","negbinomial.size",2.82702219662473e-188,2.83537143316399e-186,"PNPLA8",12560
"ANKRD28","OK","negbinomial.size",8.89843565494577e-188,8.8787123181848e-186,"ANKRD28",14366
"PLAUR","OK","negbinomial.size",1.08409854278392e-185,1.07614848680351e-183,"PLAUR",17254
"RFLNB","OK","negbinomial.size",4.95734112240629e-183,4.89588020951115e-181,"RFLNB",11349
"AL034397.3","OK","negbinomial.size",2.3082479013412e-182,2.26805861047014e-180,"AL034397.3",6433
"CDC42EP3","OK","negbinomial.size",2.66718769522972e-182,2.60751273821018e-180,"CDC42EP3",14080
"OLR1","OK","negbinomial.size",6.29822605046115e-181,6.12636993260183e-179,"OLR1",4874
"S100A9","OK","negbinomial.size",8.37083074810823e-181,8.10170853955655e-179,"S100A9",19310
"DDIT4L","OK","negbinomial.size",2.08282774323602e-179,2.00583565302586e-177,"DDIT4L",226
"RPL14","OK","negbinomial.size",3.61260881829937e-177,3.46184499484262e-175,"RPL14",19296
"ANXA5","OK","negbinomial.size",3.9021943677991e-177,3.7209249447038e-175,"ANXA5",15786
"WLS","OK","negbinomial.size",1.69130335585723e-174,1.60483132643767e-172,"WLS",3384
"S100A11","OK","negbinomial.size",2.69558951543161e-174,2.54529396342486e-172,"S100A11",18834
"CYBB","OK","negbinomial.size",4.01329660052616e-174,3.7711350629313e-172,"CYBB",16849
"PCDH9","OK","negbinomial.size",1.21082985145137e-172,1.13227214659634e-170,"PCDH9",283
"PPP1R10","OK","negbinomial.size",4.99974192760619e-172,4.65288483137851e-170,"PPP1R10",8544
"GPR183","OK","negbinomial.size",1.03625421951416e-171,9.59749900819886e-170,"GPR183",12457
"HIST1H4C","OK","negbinomial.size",7.25613249133287e-171,6.68842650641573e-169,"HIST1H4C",6807
"PABPC4","OK","negbinomial.size",1.45471331061252e-170,1.33454433902969e-168,"PABPC4",13200
"ACTB","OK","negbinomial.size",1.58661332575586e-170,1.4486827427668e-168,"ACTB",19886
"GAPDH","OK","negbinomial.size",5.29430683079481e-170,4.81135668186362e-168,"GAPDH",19293
"TSC22D3","OK","negbinomial.size",1.05558265063688e-169,9.54809035905515e-168,"TSC22D3",18575
"HOXB8","OK","negbinomial.size",1.25070955745871e-169,1.12604580947573e-167,"HOXB8",376
"KBTBD7","OK","negbinomial.size",3.37745346637501e-169,3.02672994206579e-167,"KBTBD7",2907
"PLEKHG2","OK","negbinomial.size",6.57287074326043e-169,5.86318244134986e-167,"PLEKHG2",7166
"AHNAK","OK","negbinomial.size",1.97214857337823e-168,1.75114128141662e-166,"AHNAK",17883
"PLD3","OK","negbinomial.size",1.91504460040098e-166,1.69267206986127e-164,"PLD3",7383
"RPS19","OK","negbinomial.size",2.52674314738519e-166,2.22318941381524e-164,"RPS19",19518
"CD63","OK","negbinomial.size",5.45307924375507e-164,4.77625587879488e-162,"CD63",16894
"PROK2","OK","negbinomial.size",2.32933786988587e-162,2.0310357273595e-160,"PROK2",4207
"HOXA7","OK","negbinomial.size",2.60099022346937e-161,2.25772949577115e-159,"HOXA7",597
"LINC01588","OK","negbinomial.size",3.28327558948114e-161,2.83724846364225e-159,"LINC01588",6245
"MT-ND1","OK","negbinomial.size",3.7361115923197e-161,3.21421831522367e-159,"MT-ND1",20129
"PPIA","OK","negbinomial.size",4.09039074011545e-161,3.50343776798296e-159,"PPIA",18007
"FOXO3","OK","negbinomial.size",6.72993521246314e-161,5.73882625143828e-159,"FOXO3",11085
"MAP3K2","OK","negbinomial.size",1.22225546249599e-159,1.03768416611995e-157,"MAP3K2",13719
"LTC4S","OK","negbinomial.size",5.82009544405834e-159,4.91963264238591e-157,"LTC4S",1186
"RPS9","OK","negbinomial.size",1.88937369601777e-158,1.59011333190504e-156,"RPS9",19435
"HOXB9","OK","negbinomial.size",1.36314964905101e-157,1.14227219725889e-155,"HOXB9",351
"NRIP3","OK","negbinomial.size",1.98464624542373e-157,1.65589643847703e-155,"NRIP3",4346
"STAB1","OK","negbinomial.size",4.14931998352775e-157,3.44714106957711e-155,"STAB1",4044
"FABP5","OK","negbinomial.size",4.46912742029413e-157,3.69696151600998e-155,"FABP5",3609
"AC004687.1","OK","negbinomial.size",1.07922207295907e-156,8.88957517713561e-155,"AC004687.1",7316
"VSIG4","OK","negbinomial.size",2.41492733257844e-155,1.98075204986105e-153,"VSIG4",700
"CDK6","OK","negbinomial.size",2.16355376360718e-153,1.76708481865588e-151,"CDK6",4205
"APP","OK","negbinomial.size",1.10080550837921e-149,8.95306396037663e-148,"APP",6602
"DES","OK","negbinomial.size",3.24834584576138e-148,2.63088830696247e-146,"DES",1768
"MIR181A1HG","OK","negbinomial.size",3.97952125344108e-147,3.20964970428579e-145,"MIR181A1HG",4644
"PRSS57","OK","negbinomial.size",1.02307406517465e-146,8.21727995003553e-145,"PRSS57",1053
"CDKN1C","OK","negbinomial.size",1.46181506790995e-145,1.16927083758401e-143,"CDKN1C",2172
"HOXA3","OK","negbinomial.size",9.61307561349613e-144,7.65762570577961e-142,"HOXA3",609
"NQO2","OK","negbinomial.size",2.07509760070677e-142,1.64621574823283e-140,"NQO2",9522
"BRI3","OK","negbinomial.size",8.80603512791793e-141,6.9574866110656e-139,"BRI3",17873
"IGSF6","OK","negbinomial.size",2.60379198152851e-140,2.04884558481493e-138,"IGSF6",14755
"RPL13","OK","negbinomial.size",3.65272661484593e-140,2.86258417342399e-138,"RPL13",19928
"ROGDI","OK","negbinomial.size",5.10185509315174e-140,3.98212133218299e-138,"ROGDI",5897
"HERPUD1","OK","negbinomial.size",8.31519593864626e-140,6.46414649736449e-138,"HERPUD1",14638
"INTS6","OK","negbinomial.size",3.26218226099451e-138,2.52584248104283e-136,"INTS6",8138
"ID1","OK","negbinomial.size",4.22151505648744e-138,3.25561222902101e-136,"ID1",4393
"HOXB4","OK","negbinomial.size",6.87939745489943e-138,5.28430541803525e-136,"HOXB4",1185
"ATP5IF1","OK","negbinomial.size",1.30598994462728e-137,9.99211358029655e-136,"ATP5IF1",13197
"AC003681.1","OK","negbinomial.size",3.79653906854901e-136,2.8932916043269e-134,"AC003681.1",4186
"UTY","OK","negbinomial.size",2.22586067862934e-135,1.68964647671483e-133,"UTY",3614
"DUSP2","OK","negbinomial.size",4.6286392513274e-135,3.49986601515408e-133,"DUSP2",9435
"HIST1H2AC","OK","negbinomial.size",1.85650524948267e-134,1.39830241689634e-132,"HIST1H2AC",3612
"MARC1","OK","negbinomial.size",4.19377539137707e-134,3.14646938956922e-132,"MARC1",5917
"PDE4B","OK","negbinomial.size",7.07945805293031e-133,5.27065652040662e-131,"PDE4B",12907
"PLEK","OK","negbinomial.size",7.07470966268356e-133,5.27065652040662e-131,"PLEK",18614
"LINC00877","OK","negbinomial.size",1.52488043503069e-132,1.13092377704556e-130,"LINC00877",8732
"PTX3","OK","negbinomial.size",2.75675216168176e-131,2.03673479365168e-129,"PTX3",6682
"HOMER3","OK","negbinomial.size",6.94809195149659e-131,5.11384851350264e-129,"HOMER3",9203
"IGKC","OK","negbinomial.size",2.30019633567184e-128,1.68654926021211e-126,"IGKC",3523
"GPCPD1","OK","negbinomial.size",9.16824843682556e-128,6.69697301855216e-126,"GPCPD1",15239
"OTOF","OK","negbinomial.size",2.77948519065201e-127,2.02265018178387e-125,"OTOF",1254
"PADI2","OK","negbinomial.size",9.35664366743716e-126,6.78339144084574e-124,"PADI2",2846
"SLC16A6","OK","negbinomial.size",2.02149528606083e-125,1.46007777060744e-123,"SLC16A6",3837
"FCGR2A","OK","negbinomial.size",7.99376980652077e-125,5.75224543289303e-123,"FCGR2A",13884
"KCTD7","OK","negbinomial.size",2.69930035340157e-124,1.9351984052146e-122,"KCTD7",3921
"HBEGF","OK","negbinomial.size",2.18950868511379e-123,1.56392323312722e-121,"HBEGF",9398
"FCGR3A","OK","negbinomial.size",3.22454675982559e-123,2.29476292757147e-121,"FCGR3A",3928
"HMGN1","OK","negbinomial.size",8.17534778757024e-123,5.7967108836629e-121,"HMGN1",11778
"ZNF385A","OK","negbinomial.size",9.85031115867732e-123,6.95884938315755e-121,"ZNF385A",11311
"LIN7A","OK","negbinomial.size",1.16951970658504e-122,8.23214289467878e-121,"LIN7A",3730
"CPEB4","OK","negbinomial.size",1.5893703975104e-122,1.11468995596409e-120,"CPEB4",9074
"ARMH1","OK","negbinomial.size",3.22747984804575e-122,2.25539088153869e-120,"ARMH1",4929
"MOSPD2","OK","negbinomial.size",6.43251195984798e-122,4.47892568369702e-120,"MOSPD2",5470
"BACH1","OK","negbinomial.size",1.67517084610563e-121,1.16223233218877e-119,"BACH1",13096
"RPS3A","OK","negbinomial.size",2.36858231246097e-120,1.63745170793954e-118,"RPS3A",19474
"EPSTI1","OK","negbinomial.size",4.38368646724576e-120,3.01975156393154e-118,"EPSTI1",5362
"RPL41","OK","negbinomial.size",4.30628940138555e-119,2.95591645186596e-117,"RPL41",19833
"EIF1AY","OK","negbinomial.size",1.68354857992731e-118,1.15153533080045e-116,"EIF1AY",3486
"PTPRE","OK","negbinomial.size",1.82476058187516e-118,1.24372854166752e-116,"PTPRE",17256
"GPX4","OK","negbinomial.size",2.22582565641206e-118,1.5117651660059e-116,"GPX4",14977
"ZFAS1","OK","negbinomial.size",5.25654344530339e-118,3.55772417729852e-116,"ZFAS1",18079
"CKS2","OK","negbinomial.size",5.80979852438153e-118,3.91847630789036e-116,"CKS2",2682
"CAMKK2","OK","negbinomial.size",5.92095090936066e-118,3.97957801223938e-116,"CAMKK2",7236
"LINC02256","OK","negbinomial.size",4.79770865484283e-117,3.2134687346641e-115,"LINC02256",2124
"TNFAIP2","OK","negbinomial.size",6.64723737199454e-117,4.43691633826546e-115,"TNFAIP2",15214
"USP15","OK","negbinomial.size",7.03641224121287e-117,4.68054404650026e-115,"USP15",15033
"ZDHHC20","OK","negbinomial.size",1.26350055747586e-116,8.37588366132202e-115,"ZDHHC20",12274
"STMN1","OK","negbinomial.size",2.24826820559307e-116,1.48531493705341e-114,"STMN1",1695
"SLC15A3","OK","negbinomial.size",4.1603855683525e-116,2.73920351859181e-114,"SLC15A3",10199
"CCR1","OK","negbinomial.size",4.78463438313061e-116,3.13953111031387e-114,"CCR1",10214
"RNF149","OK","negbinomial.size",7.27269506879446e-116,4.75599859617076e-114,"RNF149",12719
"FLT3","OK","negbinomial.size",2.25592848378998e-115,1.47030328823982e-113,"FLT3",3554
"CMPK2","OK","negbinomial.size",3.11347633575782e-115,2.02240139031088e-113,"CMPK2",2343
"CSGALNACT2","OK","negbinomial.size",4.93813858803866e-115,3.19690798156068e-113,"CSGALNACT2",13551
"LAIR1","OK","negbinomial.size",1.9273515456421e-113,1.2435914622998e-111,"LAIR1",7958
"ATP2B1","OK","negbinomial.size",6.3416918167847e-113,4.07827669426915e-111,"ATP2B1",15754
"TSC22D1","OK","negbinomial.size",7.62228623319007e-113,4.88558260317418e-111,"TSC22D1",2644
"MAP3K1","OK","negbinomial.size",3.37771566000431e-112,2.15783637065028e-110,"MAP3K1",11491
"CX3CR1","OK","negbinomial.size",1.24832861599247e-111,7.94865033544942e-110,"CX3CR1",3685
"IFIT2","OK","negbinomial.size",7.76159166545182e-111,4.92593868420167e-109,"IFIT2",2554
"MT-ND6","OK","negbinomial.size",8.75198498378525e-111,5.5363455336971e-109,"MT-ND6",7380
"NUCB2","OK","negbinomial.size",3.34555197349792e-110,2.10944135345275e-108,"NUCB2",6072
"HIST1H2BG","OK","negbinomial.size",4.79852325535204e-110,3.01574722902109e-108,"HIST1H2BG",748
"ELANE","OK","negbinomial.size",7.33115615900034e-110,4.59253041326115e-108,"ELANE",2664
"MFSD10","OK","negbinomial.size",8.70965855772881e-110,5.43847937748247e-108,"MFSD10",7471
"EIF4A1","OK","negbinomial.size",9.41037861125901e-110,5.85712857807526e-108,"EIF4A1",19077
"CLEC12A","OK","negbinomial.size",3.03043380674535e-109,1.88013164093493e-107,"CLEC12A",16285
"GPR84","OK","negbinomial.size",8.2519009739339e-109,5.10326029241017e-107,"GPR84",5179
"HLX","OK","negbinomial.size",1.03519876422929e-108,6.38163773222497e-107,"HLX",4513
