"","Gene_Clusters"
"BORCS5","1"
"SLC9A3R2","3"
"GINS2","1"
"ANO6","2"
"AC007731.2","3"
"SERINC1","2"
"FOXC1","1"
"AP000763.4","2"
"IER5L","1"
"ZNF337","1"
"LEPROTL1","2"
"AL137077.2","1"
"TBKBP1","1"
"SP1","2"
"ETHE1","3"
"MRPL4","3"
"LINC00266-1","1"
"RPH3A","3"
"NLRC5","1"
"CNTRL","1"
"CCDC151","3"
"LYRM9","1"
"AC125437.3","2"
"CDCA7L","1"
"RASSF2","2"
"RPARP-AS1","2"
"CORO2A","2"
"MACROD1","3"
"SYNE3","1"
"SPN","1"
"PCNA","1"
"NUMB","1"
"BICD1","1"
"B3GAT2","2"
"TMEM88","2"
"PIDD1","1"
"FAM217B","1"
"NDUFAF6","1"
"B3GALT6","3"
"AP001189.1","3"
"RNPS1","1"
"NMD3","1"
"MRC1","3"
"BX842570.1","1"
"STARD3NL","3"
"RAB33B","2"
"MAN2B1","2"
"LRP6","1"
"AC009690.2","2"
"RECQL5","1"
"PPRC1","1"
"AXIN1","1"
"NIBAN2","3"
"TCF25","1"
"HPS4","1"
"ZFP91","1"
"MDH1","3"
"ALG12","1"
"ASAP1-IT2","1"
"PER1","1"
"N4BP1","2"
"AC107068.1","2"
"ENO4","2"
"CSNK1D","1"
"PARP16","1"
"FTL","3"
"STAG2","1"
"POLR2J3","1"
"AL022724.3","2"
"SMIM27","3"
"VEZF1","2"
"SERPINH1","1"
"TNFRSF14","1"
"AC008014.1","1"
"MAML2","2"
"MCOLN2","1"
"RBSN","1"
"GP1BB","3"
"HOXA10","1"
"ACAP2","2"
"CCDC107","3"
"LINC02325","1"
"ZNF808","1"
"RPS3","3"
"FAM171B","2"
"DNAJC9","1"
"OTUD1","3"
"AC133919.2","1"
"TCEA2","3"
"NKX3-1","3"
"KEAP1","3"
"ZNF521","1"
"MARCH8","1"
"AL355581.1","1"
"FBXO38","1"
"FOXP1-IT1","1"
"HPRT1","3"
"RIC8A","1"
"COX4I1","3"
"SET","3"
"ADAM15","3"
"DNAJC27-AS1","1"
"IKZF5","2"
"TNNI2","3"
"FOLR2","3"
"CDADC1","1"
"STXBP5-AS1","2"
"NOL8","1"
"EHMT2","1"
"UNC93B1","2"
"SMARCD2","1"
"TXNIP","2"
"NIPAL3","1"
"NHS","2"
"AL121899.1","3"
"MZT1","3"
"ARL5B","1"
"LY75","2"
"MCMBP","3"
"BNIP2","2"
"RCBTB2","3"
"NCAM1","2"
"TRGV9","1"
"TMEM107","1"
"GPR27","3"
"ARL17B","1"
"METAP2","3"
"UCP2","3"
"TMEM51","3"
"RHCE","1"
"CKAP4","2"
"CCDC171","1"
"AC004974.1","2"
"F5","2"
"LGR4","2"
"NUP188","1"
"RPS23","3"
"ABHD2","2"
"BANP","1"
"CD38","1"
"PMAIP1","3"
"ZSCAN31","1"
"TOX4","1"
"ALPK1","1"
"PKM","3"
"NPC1","2"
"CDK9","1"
"AC026401.3","2"
"KMT2E-AS1","1"
"AC092301.1","2"
"NFATC1","1"
"GSK3B","2"
"BPI","3"
"AKIRIN2","2"
"USP16","1"
"ASTE1","1"
"RASA3","1"
"VPS28","3"
"TPGS2","3"
"CT69","2"
"DNAJB9","1"
"DEK","3"
"PDIA6","3"
"HNRNPA1P48","3"
"KCNE1","1"
"PRKAG2","1"
"TBCCD1","1"
"ZNF254","1"
"BTG2","1"
"CPA3","1"
"ECI1","3"
"ORC6","1"
"IRX3","1"
"POLR1D","3"
"COMMD1","3"
"CALM2","3"
"MIB2","1"
"DOCK10","1"
"SPPL3","1"
"UBE2D3","2"
"RESF1","1"
"KCNE3","3"
"GLRX5","3"
"CBY1","1"
"PIK3CG","1"
"GMDS","1"
"NRG1","3"
"DNAJC1","3"
"AC025181.2","1"
"HERC3","1"
"CASC8","3"
"TACO1","3"
"FBXO21","2"
"C12orf57","1"
"AC012146.1","3"
"ZNF544","1"
"NR2C1","1"
"MRC2","1"
"Z93241.1","1"
"TTTY10","2"
"DEPDC1B","1"
"EIF4G3","1"
"AC007494.2","1"
"AP4B1","1"
"DCP2","2"
"RASSF1-AS1","1"
"STBD1","1"
"LBHD1","1"
"PDIA4","3"
"HNRNPF","3"
"SMIM4","3"
"NUTF2","3"
"UBE2V2","3"
"ABHD13","2"
"AC004921.2","1"
"SSNA1","3"
"AC108134.3","1"
"UTF1","3"
"PIAS2","1"
"TTLL6","1"
"CAMKK2","2"
"CDK2AP2","3"
"VPREB1","1"
"EIF3L","3"
"RAVER1","1"
"PLCL2","2"
"CCNA1","1"
"FAM110A","3"
"SMO","1"
"ELAC1","1"
"ZFP82","1"
"CLEC2B","3"
"AC110285.5","1"
"NRGN","3"
"ITSN1","2"
"DUSP22","3"
"LAMTOR4","3"
"HAGHL","1"
"MRPS6","3"
"ZNF672","1"
"CALM1","3"
"FKBP15","2"
"BACH1-AS1","2"
"NDUFB2","3"
"ZNF302","1"
"ZNF532","1"
"AC017083.1","1"
"GPBP1","1"
"HOXB-AS1","1"
"PDE1B","2"
"MT-CYB","1"
"ZNF555","2"
"KIF23","2"
"ZNF443","1"
"WT1-AS","1"
"TMSB4X","3"
"CAPZA1","2"
"RPS5","3"
"CRTC3","3"
"TREM1","2"
"ADGRB3","2"
"LINC00920","3"
"HOXB9","3"
"TNFSF9","1"
"LINC02376","3"
"COL18A1","1"
"SCUBE1","1"
"AKAP13","1"
"TBL1X","1"
"BAX","3"
"RMND1","2"
"GPSM1","1"
"MMP11","1"
"GOLGA6L4","1"
"MAK","2"
"IGFBP6","3"
"HCN2","2"
"VEGFB","3"
"WFIKKN1","1"
"GSAP","1"
"OCLN","1"
"SCRN1","2"
"CREG1","3"
"SPATA2","1"
"APOBR","1"
"AC015971.1","2"
"AP002762.3","2"
"EIF6","3"
"LINC01003","3"
"ATP5F1A","3"
"PNOC","2"
"MSH5","1"
"XAF1","2"
"AC006157.1","2"
"TCAF1","1"
"SGK1","3"
"PRRC2B","1"
"TMED2","3"
"TSTD2","1"
"CLU","3"
"SERPINF1","3"
"AC004938.2","1"
"TCP1","1"
"SLC25A42","1"
"MYH9","2"
"HIST1H4A","1"
"GRAMD4","1"
"C1orf162","3"
"CRNDE","1"
"RGS19","3"
"A1BG","3"
"RB1","2"
"SLC9A8","1"
"STX4","1"
"IFITM2","1"
"GADD45G","1"
"TRAM2","2"
"SLC44A2","1"
"NPM1","3"
"CCT3","3"
"ATP5MC2","3"
"MMRN1","3"
"AC147651.4","3"
"NME3","3"
"P4HA1","3"
"TRIM33","1"
"RIDA","3"
"TM2D3","1"
"LINC01547","1"
"USP31","2"
"PPP1R15A","1"
"UBR4","1"
"TPCN1","2"
"ZDHHC11","1"
"SCHIP1","1"
"CD93","2"
"TALDO1","3"
"PCOLCE","1"
"SDR39U1","1"
"CHROMR","1"
"FEM1B","2"
"EMP1","3"
"ZER1","1"
"NBPF10","1"
"CSKMT","1"
"SNAI1","3"
"GRK6","2"
"TIMM9","3"
"KAT6A","1"
"WASHC2A","2"
"RUNX2","1"
"AL031846.2","1"
"OSBPL1A","2"
"TSC22D4","1"
"RNF168","1"
"OLIG2","2"
"CYTH1","2"
"CDCA5","1"
"NENF","3"
"CHN2","3"
"SMCHD1","1"
"RAB11A","3"
"AC073320.1","1"
"IPO7","2"
"RNF213","1"
"MS4A4E","1"
"GNG2","1"
"LSM7","3"
"PNPLA7","1"
"EFCAB13","1"
"TSPAN2","2"
"NFIA","1"
"PRICKLE1","2"
"ZNF382","1"
"H2AFV","3"
"NDUFB6","3"
"UBE2I","3"
"AC010359.3","2"
"PYCARD","3"
"USF3","1"
"TTC26","1"
"GGA1","2"
"KANSL1-AS1","3"
"AC105446.1","3"
"LPL","3"
"TXN2","3"
"PRDM16","1"
"GPR137C","1"
"ZNF585B","1"
"ATL2","1"
"ITGAL","2"
"CTNND1","1"
"ENGASE","1"
"BRD7","2"
"GYPB","1"
"PIP4P2","2"
"TARS2","1"
"TBCB","3"
"EXTL2","1"
"LINC02446","1"
"CASP4","3"
"NDUFB10","3"
"USP14","1"
"HELLPAR","1"
"PGM2L1","1"
"BNIP3L","3"
"PA2G4","3"
"SAP30BP","1"
"ZNF75A","1"
"ADA","1"
"MAFB","3"
"BOLA3","3"
"ZBED1","2"
"AC011479.4","2"
"RPL8","3"
"AHSP","1"
"MRPS22","3"
"ZNF419","1"
"AC006946.3","2"
"MICU1","2"
"NPTN","3"
"ZNF66","1"
"LINC00513","2"
"PLCG1-AS1","2"
"ZFP69B","1"
"USP25","1"
"STAM-AS1","1"
"LINC00924","1"
"GNL3","1"
"TMEM147-AS1","1"
"ATRNL1","1"
"CIC","1"
"PPM1F","2"
"POLQ","1"
"QSOX1","2"
"SNHG25","1"
"EPCAM","1"
"DANT2","1"
"FSBP","1"
"PRKAR2B","3"
"DACT1","1"
"TJP2","2"
"KRT18","1"
"MAST3","2"
"JMJD1C","1"
"AC132872.5","1"
"KLF3-AS1","1"
"LRRFIP1","1"
"AC095055.1","2"
"MRPS26","3"
"DNAJC25","2"
"AC016773.1","1"
"COL15A1","2"
"VAMP7","3"
"C1orf122","3"
"CST7","1"
"SCMH1","1"
"WBP1L","3"
"CBR4","1"
"NADSYN1","1"
"MPI","1"
"CST3","3"
"TRMT1","3"
"UQCC2","3"
"FOXO3","2"
"CALR","2"
"APOA1","1"
"HNRNPH3","2"
"SREK1IP1","3"
"EXOC4","1"
"NRG4","1"
"SLFN5","2"
"PPP3CB-AS1","1"
"MRPL16","3"
"AC008764.7","1"
"SLC2A3","1"
"USP47","1"
"SLC6A6","2"
"IL1RAP","1"
"KLF6","1"
"DUS3L","1"
"CHSY1","1"
"LRATD1","1"
"UFSP2","2"
"KTI12","1"
"CLECL1","3"
"CRISPLD1","1"
"NBR1","2"
"CARD9","1"
"RNH1","3"
"AGPAT4","1"
"NIPSNAP3A","3"
"STAR","1"
"KMT2C","1"
"FGD2","2"
"BTNL3","1"
"RPL35A","3"
"ARFGAP3","2"
"ACP2","3"
"ZBTB7B","2"
