"","Gene_Clusters"
"LINC00665","2"
"RGL4","2"
"MCOLN2","2"
"SCAND1","3"
"CCDC171","2"
"MACROD1","3"
"STARD3NL","3"
"TRIM52","2"
"AC007731.2","3"
"FTL","3"
"ENO4","1"
"LINC02035","1"
"NR2C1","2"
"PLSCR1","3"
"NDUFA3","3"
"STUB1","3"
"B3GAT2","1"
"GOLGA8A","2"
"CPXM1","2"
"ZFP91","1"
"RNPS1","2"
"LNCAROD","2"
"ZNF711","2"
"DCP2","1"
"UTF1","3"
"LRP6","2"
"KDM5D","1"
"PPRC1","2"
"MARCH8","2"
"Z93241.1","2"
"BNIP2","1"
"PIK3CG","1"
"NFATC1","2"
"CLC","2"
"CNTLN","1"
"TBKBP1","2"
"TAB3","1"
"RPS3","3"
"USP16","1"
"ARL5A","3"
"TPCN1","1"
"KCNJ2","2"
"MSH5","2"
"TXNIP","1"
"ZNF808","2"
"RBSN","2"
"GP1BB","3"
"EEF1A2","3"
"NBR2","2"
"NRTN","2"
"SMARCD2","2"
"FBXO38","2"
"WT1-AS","2"
"NHS","1"
"CKAP4","1"
"SCHIP1","2"
"C12orf57","2"
"GLRX5","3"
"CBY1","2"
"CCDC151","3"
"AL121899.1","3"
"ABHD2","1"
"STBD1","2"
"RASSF2","1"
"NDUFB2","3"
"TBCCD1","2"
"POP5","3"
"SERINC1","1"
"DPP9","2"
"AC025181.2","2"
"PFKFB3","2"
"AC092301.1","1"
"TCEA2","3"
"PKMYT1","2"
"ARL17B","1"
"UBE2V2","3"
"PWP2","2"
"GGA1","1"
"PLCL2","1"
"AP000845.1","2"
"SERPINH1","2"
"ZNF382","2"
"MDH1","3"
"SDR39U1","2"
"MRC1","3"
"STAG2","1"
"ZNF302","2"
"TMEM51","3"
"NIPAL3","2"
"CDK9","2"
"CSNK1D","2"
"CLEC2B","3"
"TREM1","1"
"ARL5B","1"
"GPRIN3","2"
"NUMB","1"
"AC020907.3","3"
"COX4I1","3"
"VEGFB","3"
"GMDS","2"
"DNAJC1","3"
"KAT6A","2"
"NRGN","3"
"FBXO21","1"
"CRTC1","1"
"LGR4","1"
"RB1","1"
"FKBP15","1"
"GSK3B","1"
"PER1","2"
"EHMT2","2"
"HEATR3","1"
"RPS23","3"
"POLR1D","3"
"HPS4","2"
"POLR2J3","1"
"EIF4G3","1"
"APOC1","3"
"N4BP1","1"
"SPPL3","2"
"BTG2","2"
"GPR27","3"
"CAMKK2","1"
"IKZF5","1"
"APOBR","2"
"RASA3","1"
"SMIM27","3"
"CDCA7L","2"
"RGS19","3"
"LINC02376","3"
"COL18A1","2"
"MRPL4","3"
"MCMBP","3"
"AC090559.1","1"
"VNN3","2"
"NCAM1","1"
"DOCK10","2"
"NDUFAF6","2"
"TTTY10","1"
"APMAP","2"
"EIF6","3"
"BICD1","2"
"PHKB","1"
"PRKAG2","1"
"TTC26","2"
"CD38","2"
"AKAP13","1"
"AC108134.3","1"
"A1BG","3"
"ITSN1","1"
"SET","3"
"MAFB","3"
"NFIA","2"
"AP4B1","2"
"SNAI1","3"
"ORC6","2"
"ZNF254","2"
"ADPGK-AS1","2"
"FKBPL","2"
"CALM2","3"
"SSNA1","3"
"GRAMD4","2"
"DEPDC1B","2"
"PRKCA","1"
"FAM157C","2"
"KMT2E-AS1","2"
"ADGRB3","1"
"CD93","1"
"TSC22D4","2"
"GFOD1","1"
"HAGHL","2"
"AC105446.1","3"
"SERPINF1","3"
"LBHD1","2"
"KCNE1","1"
"NRG1","3"
"ALPK1","2"
"NUP188","2"
"ZYX","3"
"UBE2D3","1"
"BX842570.1","2"
"AC079174.2","1"
"AC125437.3","1"
"PIK3R4","2"
"COX7A1","3"
"CSKMT","2"
"ZNF555","1"
"TTLL4","1"
"MAML2","1"
"ZNF770","1"
"NPC1","1"
"AP002762.3","1"
"IFITM2","3"
"CALM1","3"
"HMBS","1"
"TCAF1","2"
"AC015971.1","1"
"CCT3","3"
"CRNDE","2"
"ISG20","3"
"MRPL16","3"
"PMAIP1","3"
"MAK","1"
"AC048341.1","1"
"UBR4","1"
"BANP","2"
"AC110285.5","2"
"FOLR2","3"
"DNAJC27-AS1","2"
"MS4A4E","2"
"XAF1","1"
"RPS27L","3"
"AC087284.1","1"
"ASTE1","2"
"TMSB4X","3"
"AC004938.2","2"
"SCUBE1","1"
"GIHCG","2"
"FLYWCH1","2"
"LAMTOR4","3"
"AL355881.1","1"
"FOXP1-IT1","2"
"NGLY1","2"
"AC017083.1","2"
"RMND1","1"
"SPATA2","2"
"RPL8","3"
"ZNF629","2"
"TRGV9","2"
"AC004974.1","1"
"ZNF672","2"
"P4HA1","3"
"DNAJC3","1"
"KLF5","2"
"HIST1H4A","2"
"WASHC2A","1"
"VPS28","3"
"AHSP","2"
"SLC9A8","2"
"KRBA2","2"
"EIF3L","3"
"PRICKLE1","1"
"TOB2","2"
"CLU","3"
"AL357079.1","2"
"COMMD1","3"
"TNFSF9","2"
"ZDHHC11","2"
"LILRB1","3"
"ZFP82","2"
"GDE1","3"
"TRIM33","1"
"RNF168","2"
"NME3","3"
"AC006157.1","1"
"HELLPAR","2"
"PRDM16","2"
"KCNK12","2"
"RNF13","3"
"TCP1","2"
"RPS5","3"
"ACSF3","2"
"SRRM2","2"
"ATP6AP1L","2"
"PDIA6","3"
"LMBRD1","1"
"CDADC1","2"
"RESF1","2"
"SMCHD1","1"
"CASC8","3"
"MAF","1"
"SLC44A2","1"
"MRPS6","3"
"ZBED1","1"
"TTLL6","2"
"ATP5MC2","3"
"ZER1","2"
"LINC01433","2"
"ZNF394","2"
"RASSF1-AS1","2"
"ABHD13","1"
"PARP16","2"
"RAB11A","3"
"AC026401.3","1"
"TBL1X","1"
"DUS3L","2"
"CARD9","2"
"EXTL2","2"
"TSPAN2","1"
"NENF","3"
"TIMM9","3"
"CT69","1"
"EIF4E","1"
"AC068282.1","1"
"ZNF544","2"
"ECI1","3"
"CAPZA1","1"
"BAX","3"
"MMRN1","3"
"DNAJC9","2"
"C1orf122","3"
"TCF25","1"
"MRC2","2"
"GNG2","2"
"EFCAB13","2"
"OCLN","2"
"TSTD2","2"
"MAPK1","1"
"KMT2E","2"
"CPA3","2"
"AC107068.1","1"
"LINC00920","3"
"PDE1B","1"
"MIB2","2"
"TJP2","1"
"USP24","2"
"MMP11","2"
"TRAM2","1"
"BMP1","2"
"GOLGA6L4","2"
"SCRN1","1"
"CCDC189","2"
"SNHG25","2"
"PTPN11","1"
"TALDO1","3"
"AC012146.1","3"
"GYPB","2"
"GPSM1","2"
"PDIA4","3"
"MICU1","1"
"ANAPC15","3"
"TM2D3","1"
"SLC6A6","1"
"DNAJC25","1"
"GRHPR","3"
"OSBPL1A","1"
"ZNF443","2"
"ATP5F1A","3"
"TMEM220-AS1","2"
"PRPSAP1","3"
"ADGRA2","1"
"NBPF10","1"
"CYTH1","1"
"CCDC107","3"
"IPO7","1"
"TMEM107","2"
"HERC3","1"
"TRA2B","2"
"PIAS2","2"
"MRPS26","3"
"LPL","3"
"AC010359.3","1"
"SMIM4","3"
"LINC01547","2"
"LRRFIP1","1"
"DPY19L4","2"
"LINC02446","2"
"AC012485.3","2"
"AC020916.1","2"
"ITGAL","1"
"H2AFV","3"
"CLECL1","3"
"FRMD3","1"
"PPARGC1B","1"
"LCP1","3"
"CTNND1","2"
"CDCA5","2"
"ZNF585B","2"
"GPBP1","1"
"DEPP1","2"
"MYBBP1A","2"
"PRRC2B","2"
"SLC22A5","1"
"RAVER1","2"
"GPR137C","2"
"EPCAM","2"
"WFIKKN1","2"
"AC244502.1","2"
"SEL1L","1"
"CRTC3","3"
"CNTRL","2"
"PGM2L1","2"
"DACT1","2"
"CHROMR","2"
"NOP14","2"
"LYRM7","2"
"MBTPS1","1"
"USF3","1"
"ZNF66","2"
"ZNF532","1"
"GNL3","2"
"CST3","3"
"PIM2","2"
"KRT18","2"
"KMT2C","1"
"AL138963.4","1"
"BOLA3","3"
"FEM1B","1"
"LYRM9","2"
"MYB","2"
"TPRN","2"
"CXCL8","1"
"TPPP","2"
"AGPAT4","1"
"RC3H1","1"
"STAM-AS1","2"
"FBXO45","3"
"TTC27","2"
"AC112220.2","1"
"EID1","3"
"CASP4","3"
"PCOLCE","2"
"RASL11A","1"
"INAFM1","2"
"USP25","1"
"JMJD1C","1"
"PPIL3","3"
"AC008079.1","1"
"HOXA11","2"
"SAP30BP","2"
"LSM7","3"
"TRGC2","2"
"ARPC3","3"
"PLCG1-AS1","1"
"CBR4","2"
"SLC16A7","3"
"AC095055.1","1"
"PHKA2","2"
"PKM","3"
"RPL7","3"
"LINC00924","1"
"UQCC2","3"
"AMN","2"
"PIP4P2","1"
"HNRNPF","3"
"MAGIX","2"
"ARFGAP3","1"
"MYH9","1"
"HCAR3","1"
"BTNL3","2"
"AR","2"
"CTSL","3"
"USP47","2"
"SREK1IP1","3"
"BCAS4","1"
"AC147651.4","3"
"POLQ","2"
"VAMP7","3"
"FSBP","2"
"LRATD1","2"
"EML4","2"
"MBNL2","1"
"ATL2","2"
"PCDH9","3"
"UNC13C","1"
"XPNPEP1","2"
"PTGER4","2"
"RAVER2","2"
"RAB14","1"
"TSC22D3","2"
"AL627309.4","1"
"CST7","2"
"TPST1","1"
"RRNAD1","2"
"AC009118.2","2"
"GSAP","1"
"NPM1","3"
"SGK1","3"
