"","Gene_Clusters"
"MGST1","3"
"AC069544.1","2"
"SPIN1","1"
"ATM","1"
"AC069209.2","1"
"RPS17","3"
"AL133415.1","1"
"KCTD12","1"
"LINC00937","1"
"KNTC1","2"
"PDE4A","3"
"GRK3","1"
"POLR2K","3"
"PSD3","2"
"OFD1","2"
"AL109615.2","2"
"FDFT1","3"
"ASAP1","1"
"SLC2A13","1"
"C3orf80","2"
"CD33","3"
"TRIM22","1"
"IL1R2","2"
"PRSS2","1"
"AC100788.1","1"
"GOLGA6L9","2"
"PDCD6IP","1"
"ARL2","3"
"SLC2A4RG","2"
"TMEM220","3"
"CDKN2B","1"
"CLK3","2"
"CORO1C","1"
"MPDU1","1"
"AC084082.1","1"
"AP000238.1","1"
"BAZ2A","2"
"DESI1","3"
"SEMA4D","1"
"AC116903.2","1"
"ARHGDIB","3"
"AC127521.1","2"
"ITM2B","3"
"RPL36","3"
"PPP1R12A","2"
"ATP5F1E","3"
"ETV6","2"
"STN1","3"
"KRT8","2"
"MIR1915HG","2"
"BTBD11","2"
"LCMT1","3"
"LRRC23","2"
"RNF126","3"
"RECQL4","2"
"FAM214B","1"
"AC243960.1","2"
"C15orf40","3"
"AL137003.2","1"
"ZCCHC3","2"
"TPT1-AS1","2"
"AL139042.1","2"
"ZSWIM4","1"
"SMS","3"
"AL445489.1","1"
"DRAM1","3"
"ZNF181","2"
"BSCL2","3"
"PHF3","1"
"SERPINB9","3"
"BX640514.2","1"
"MBNL1","2"
"ERF","2"
"AC069185.1","2"
"FANCB","1"
"KIF3B","1"
"METTL1","2"
"WASHC4","1"
"LINC00346","1"
"PCSK7","1"
"SBNO1-AS1","2"
"OGA","2"
"MROH6","1"
"CYP4F3","2"
"BCL7C","3"
"HIST1H1C","2"
"CCT6B","2"
"MADD","2"
"ITGAX","1"
"GZF1","2"
"HSP90AB1","3"
"AL590428.1","2"
"PRDX5","3"
"MTFR2","2"
"AC087286.2","1"
"ANKRD40CL","2"
"KDM5B","2"
"FLT3","2"
"ICAM1","3"
"FUNDC2","3"
"RAB39A","1"
"AL138756.1","1"
"TM7SF3","2"
"GSTT2B","3"
"TEDC1","2"
"AC008915.2","3"
"NMB","3"
"BAHCC1","2"
"CHST15","1"
"MX2","1"
"MLKL","2"
"AC044849.1","2"
"SPATA13","1"
"NCOA2","1"
"AC012291.3","2"
"RPL36A","3"
"AC073934.1","2"
"PCLAF","2"
"AL138762.1","3"
"SEC61B","3"
"PPP1R9A","1"
"SLC46A1","2"
"PCBD1","3"
"HIST1H3B","2"
"USF2","3"
"BUB3","3"
"ING3","1"
"IFIT2","1"
"HDAC10","2"
"RREB1","2"
"ACAA2","3"
"GRAMD1B","1"
"ABCA13","2"
"AZU1","2"
"RALGDS","1"
"TESC","3"
"TMEM140","2"
"KLHL9","2"
"BCL10","1"
"PI4K2A","1"
"VASP","3"
"GRK2","2"
"ZFP36L1","3"
"ATXN1","1"
"RIC1","1"
"PHIP","1"
"PDP2","2"
"AC115485.1","1"
"TRAF1","2"
"ZZEF1","1"
"DOK2","3"
"TCP11L2","1"
"CKS2","2"
"CCND3","3"
"LAPTM4B","2"
"CD9","3"
"PIEZO1","2"
"LINC00205","2"
"ZNF430","2"
"AC026471.1","2"
"CCNE1","2"
"IFIT1","1"
"LINC00863","2"
"AC015871.7","2"
"ARRB2","3"
"LRRC61","2"
"SCML2","2"
"CAMTA2","1"
"LINC01410","1"
"SARNP","3"
"MARF1","2"
"DUSP3","3"
"RNF130","3"
"PRC1","2"
"ROMO1","3"
"CKAP5","2"
"ZNF480","3"
"RPLP1","3"
