"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"BST2",3.96615144718413e-21,0.359090740354406,0.509,0.347,8.42965828584514e-17,"3","BST2"
"PTPRC1",6.09586774856465e-21,0.311610856397776,0.953,0.915,1.29561573127993e-16,"3","PTPRC"
"IFITM31",8.41753237531332e-21,0.365173695994824,0.347,0.195,1.78906233104909e-16,"3","IFITM3"
"IRF11",8.59969747389083e-21,0.42620770498985,0.833,0.706,1.82777970110076e-16,"3","IRF1"
"PPP1R18",9.16482147216551e-21,0.28864665373962,0.398,0.234,1.94789115569406e-16,"3","PPP1R18"
"GAPDH2",1.38658897596542e-20,0.25254674210965,0.966,0.921,2.9470562095169e-16,"3","GAPDH"
"CEBPB",1.49397032484054e-20,0.376970141365118,0.534,0.363,3.17528452841609e-16,"3","CEBPB"
"HNRNPA2B1",1.52492602967652e-20,0.288291631712239,0.951,0.917,3.24107778347447e-16,"3","HNRNPA2B1"
"ARPC5",2.95740853106975e-20,0.371561194281302,0.65,0.504,6.28567609193565e-16,"3","ARPC5"
"COX8A",3.50746260940533e-20,0.350991015363844,0.741,0.637,7.45476103003009e-16,"3","COX8A"
"SLC9A3R11",4.04069891112144e-20,0.288720336235645,0.436,0.266,8.58810146569751e-16,"3","SLC9A3R1"
"SELPLG",8.38155574863426e-20,0.26254590793662,0.358,0.202,1.78141585881472e-15,"3","SELPLG"
"PSAP1",8.4482997487286e-20,0.286881610765504,0.521,0.342,1.79560162859478e-15,"3","PSAP"
"ATOX1",8.66658482924847e-20,0.268579534235494,0.316,0.171,1.84199593960847e-15,"3","ATOX1"
"CDC42",9.51744593671114e-20,0.282088377669549,0.956,0.945,2.02283795938859e-15,"3","CDC42"
"RNF1661",1.95160078311649e-19,0.28793503002485,0.496,0.326,4.14793230443578e-15,"3","RNF166"
"ITGB7",2.40228807927836e-19,0.291988320636926,0.352,0.204,5.10582308369823e-15,"3","ITGB7"
"RNASEK",4.42967353063177e-19,0.337314076798589,0.818,0.729,9.41482812200476e-15,"3","RNASEK"
"SDF2L1",5.99911034576964e-19,0.294982165375642,0.367,0.217,1.27505091288988e-14,"3","SDF2L1"
"PRDX5",6.17294113802436e-19,0.356821153239915,0.551,0.403,1.3119969094757e-14,"3","PRDX5"
"SERTAD11",6.17501607501262e-19,0.376116663579043,0.551,0.392,1.31243791658318e-14,"3","SERTAD1"
"P4HB",7.79006733448548e-19,0.302832343729003,0.489,0.329,1.65570091127154e-14,"3","P4HB"
"ZAP70",9.80829947048424e-19,0.254669738792972,0.364,0.212,2.08465596945672e-14,"3","ZAP70"
"CLEC2B1",1.9064582446915e-18,0.344574800098734,0.718,0.576,4.05198635326731e-14,"3","CLEC2B"
"TRBC1",3.97970603318036e-18,0.35425201332235,0.725,0.571,8.45846720292153e-14,"3","TRBC1"
"PPIA",4.88665487497465e-18,0.254517041097615,0.977,0.955,1.03860962712711e-13,"3","PPIA"
"TMCO1",6.03653193010884e-18,0.29633391347052,0.426,0.273,1.28300449642533e-13,"3","TMCO1"
"RGS21",1.29043662055483e-17,0.339965992093434,0.477,0.319,2.74269399332724e-13,"3","RGS2"
"CHCHD2",1.52198150969612e-17,0.290278030437137,0.898,0.864,3.23481950070813e-13,"3","CHCHD2"
"APOL6",1.88598920482885e-17,0.312219232882624,0.43,0.278,4.00848145594324e-13,"3","APOL6"
"PTPRE1",2.22668461436391e-17,0.272138091229743,0.343,0.201,4.73259547936906e-13,"3","PTPRE"
"YWHAZ1",2.54078286238318e-17,0.304362442177773,0.894,0.848,5.4001798957092e-13,"3","YWHAZ"
"NDUFC2",3.45957552541885e-17,0.283807306062537,0.566,0.4,7.35298182172522e-13,"3","NDUFC2"
"POLR3GL",3.94635601716625e-17,0.262908447639081,0.477,0.317,8.38758507888515e-13,"3","POLR3GL"
"HSPA51",5.79476970633871e-17,0.40638557170413,0.773,0.693,1.23162035338523e-12,"3","HSPA5"
"ARHGDIB",6.67100559612319e-17,0.252689321689928,0.973,0.941,1.41785552940002e-12,"3","ARHGDIB"
"TMED9",6.84814637980652e-17,0.2533580872754,0.445,0.291,1.45550503156408e-12,"3","TMED9"
"POLR2L",7.92978873019752e-17,0.344158016986508,0.71,0.602,1.68539729671618e-12,"3","POLR2L"
"CMC11",1.08745327134747e-16,0.293157638061143,0.413,0.254,2.31127318292192e-12,"3","CMC1"
"EVL",1.18444264596852e-16,0.305100294612855,0.759,0.652,2.5174143997415e-12,"3","EVL"
"AKAP131",1.67568373715233e-16,0.337585537884225,0.636,0.505,3.56149821494356e-12,"3","AKAP13"
"CD164",1.94627814573349e-16,0.300568202982416,0.521,0.374,4.13661957094195e-12,"3","CD164"
"ARPC4",1.99042548920284e-16,0.316294860275382,0.578,0.443,4.23045033475171e-12,"3","ARPC4"
"HNRNPDL",3.09615966359309e-16,0.281480528715511,0.926,0.913,6.58057774900076e-12,"3","HNRNPDL"
"BZW11",3.95182399717035e-16,0.342861215730632,0.665,0.537,8.39920672358587e-12,"3","BZW1"
"PSME2",4.04784093190379e-16,0.366556668509938,0.644,0.535,8.60328111666831e-12,"3","PSME2"
"PRELID1",6.57785094551351e-16,0.329010474959598,0.544,0.407,1.39805643995944e-11,"3","PRELID1"
"CAP1",6.96006973970952e-16,0.329105966913621,0.557,0.416,1.47929322247786e-11,"3","CAP1"
"ARAP21",7.64631500349731e-16,0.286009075676069,0.341,0.206,1.62514779084332e-11,"3","ARAP2"
"LINC018711",8.08881341974155e-16,0.258250623451284,0.369,0.22,1.71919640423187e-11,"3","LINC01871"
"FKBP111",9.905228008336e-16,0.331734922790842,0.445,0.303,2.10525716089173e-11,"3","FKBP11"
"LAMP1",1.1180418676015e-15,0.290519047373799,0.468,0.327,2.37628618540023e-11,"3","LAMP1"
"UCP2",1.1797751488063e-15,0.343355149859556,0.513,0.376,2.5074941012729e-11,"3","UCP2"
"VAMP81",1.33218883921324e-15,0.285191603485301,0.634,0.494,2.83143415886383e-11,"3","VAMP8"
"DIP2A",1.70214685463957e-15,0.26053467409789,0.309,0.179,3.61774292485094e-11,"3","DIP2A"
"CAPNS1",1.81366711412814e-15,0.298575435886422,0.443,0.303,3.85476808436796e-11,"3","CAPNS1"
"HMGB11",2.01815482409897e-15,0.25098593028072,0.968,0.944,4.28938626313995e-11,"3","HMGB1"
