"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","37/408","378/18614",2.54459439781968e-14,5.4588246134279e-12,3.99663441430404e-12,"6352/3458/3105/567/3689/864/3956/975/5788/22914/60/3561/4092/1326/3115/3133/30009/3113/3123/301/3659/2534/3146/22890/3676/58515/387/11126/11314/7704/4067/101/6693/1051/7535/8631/9750",37
"GO:0042267","GO:0042267","natural killer cell mediated cytotoxicity","18/408","76/18614",3.67801921261219e-14,7.49580315530365e-12,5.48799182513451e-12,"4818/3002/3824/3820/3106/3105/2214/22914/7040/3133/259197/3134/10383/3823/11126/57823/10666/3916",18
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","42/408","491/18614",4.510003951614e-14,8.75370290798984e-12,6.40895298387253e-12,"6352/3458/3105/567/3689/864/3956/975/5788/22914/60/3561/4092/7040/1326/3115/3133/30009/3113/3123/3716/301/3659/2534/80709/3146/4155/22890/3676/58515/387/11126/11314/7704/4067/101/6693/1051/7535/8631/83706/9750",42
"GO:0071674","GO:0071674","mononuclear cell migration","27/408","202/18614",5.3136320620723e-14,9.80175282371113e-12,7.17627427695394e-12,"6352/6351/6846/22914/4267/4478/3683/30009/301/1843/3146/811/3676/58515/387/6348/7852/1524/4067/101/5594/6693/998/3695/7535/6349/9750",27
"GO:0001912","GO:0001912","positive regulation of leukocyte mediated cytotoxicity","17/408","67/18614",5.53092038629431e-14,9.80175282371113e-12,7.17627427695394e-12,"3824/3107/3106/3105/7305/567/5788/22914/3133/259197/3123/3134/3823/11126/3684/10666/3916",17
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","33/408","311/18614",6.9236717040392e-14,1.17587024440266e-11,8.6090391583119e-12,"3824/5551/3004/3107/3106/3105/2214/567/975/5788/925/4092/7040/3115/3133/3560/1075/30009/3113/3123/3134/301/3146/7133/6095/22890/2207/121260/10666/6693/11118/1191/3726",33
"GO:0046631","GO:0046631","alpha-beta T cell activation","25/408","175/18614",9.98970610096827e-14,1.62872168270187e-11,1.19245544405242e-11,"4818/3458/3105/919/864/975/5788/3561/4092/3133/30009/3123/301/3659/3146/6095/639/387/11126/11314/7704/6693/7535/28639/3726",25
"GO:0030168","GO:0030168","platelet activation","22/408","133/18614",1.44865569523856e-13,2.27104638992014e-11,1.66272829797624e-11,"5341/2316/60/1192/10627/7094/4627/2207/4067/2149/71/7294/5478/5196/2812/81027/2815/10398/340205/7414/83706/2778",22
"GO:0002705","GO:0002705","positive regulation of leukocyte mediated immunity","23/408","148/18614",1.59062470709031e-13,2.40125418744448e-11,1.75805888678403e-11,"3824/3107/3106/3105/7305/567/3689/975/5788/22914/7040/3133/30009/259197/3123/3134/22890/117157/3823/11126/3684/10666/3916",23
"GO:0002699","GO:0002699","positive regulation of immune effector process","30/408","267/18614",2.20493017498728e-13,3.20974835473148e-11,2.34999137071013e-11,"3824/3458/3107/3106/3105/7305/567/3689/10417/975/5788/22914/7040/3133/30009/259197/3123/3134/301/22890/5880/117157/3823/11126/11314/3684/4067/10666/3916/8673",30
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","33/408","327/18614",2.8795996339566e-13,4.04732693379556e-11,2.96321777214772e-11,"6352/3458/3105/2214/7305/567/864/3956/975/5788/22914/60/3561/7040/1326/3115/3133/30009/3113/3123/3134/301/2534/3146/22890/58515/387/11126/7704/4067/101/7535/3916",33
"GO:0002706","GO:0002706","regulation of lymphocyte mediated immunity","25/408","184/18614",3.20427804521706e-13,4.35354577076825e-11,3.18741342392645e-11,"3824/3820/3107/3106/3105/567/975/5788/22914/4092/7040/3133/30009/259197/3123/3134/3146/7133/22890/117157/3823/11126/121260/10666/3916",25
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion","30/408","273/18614",3.95889158810017e-13,5.20530390745042e-11,3.81102127411341e-11,"6352/3458/3105/567/3689/864/3956/975/5788/22914/60/3561/1326/3115/3133/3113/3123/301/2534/3146/22890/3676/58515/387/11126/7704/4067/101/7535/8631",30
"GO:0046634","GO:0046634","regulation of alpha-beta T cell activation","20/408","114/18614",6.00724457223667e-13,7.65172777388646e-11,5.6021507770694e-11,"3458/3105/864/975/5788/3561/4092/3133/30009/3123/301/3659/3146/639/387/11126/11314/7704/7535/3726",20
"GO:0097529","GO:0097529","myeloid leukocyte migration","28/408","241/18614",6.22819243579347e-13,7.69276132372551e-11,5.63219315964099e-11,"6352/6351/3689/6846/975/4267/5295/5479/301/1843/3146/5880/58515/6348/2207/1524/11314/4067/57580/101/682/5594/5478/6349/5473/5196/5197/9750",28
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","32/408","321/18614",9.35364987693628e-13,1.12133755583507e-10,8.20978247712519e-11,"6352/3458/3105/567/3689/864/3956/975/5788/22914/60/3561/4092/1326/3115/3133/3113/3123/3716/301/2534/3146/22890/3676/58515/387/11126/7704/4067/101/7535/8631",32
"GO:0044403","GO:0044403","biological process involved in symbiotic interaction","31/408","313/18614",2.55163124701049e-12,2.9715568465185e-10,2.17560137902999e-10,"6352/6351/10581/3956/975/1072/3123/5479/2597/3146/3688/3725/8519/6348/7852/1524/3482/2040/682/10410/6404/998/3695/440400/5034/5478/3916/8673/4061/5196/8724",31
"GO:0034109","GO:0034109","homotypic cell-cell adhesion","18/408","97/18614",3.23559770919605e-12,3.66341562852308e-10,2.68214020630725e-10,"6352/5341/2316/60/4267/1192/10627/7094/3716/4627/4067/71/5478/81027/10398/7414/83706/2778",18
"GO:0002456","GO:0002456","T cell mediated immunity","20/408","125/18614",3.58507685129594e-12,3.94939817456277e-10,2.89152002088876e-10,"3824/5551/3004/3107/3106/3105/567/975/5788/925/4092/3133/1075/30009/3123/3134/3146/7133/22890/11118",20
"GO:0002715","GO:0002715","regulation of natural killer cell mediated immunity","14/408","52/18614",3.92729065581674e-12,4.21253597713396e-10,3.08417424078683e-10,"3824/3820/3106/3105/22914/7040/3133/259197/3134/117157/3823/11126/10666/3916",14
"GO:0097530","GO:0097530","granulocyte migration","22/408","156/18614",4.05625740076659e-12,4.23930901680119e-10,3.10377590584974e-10,"6352/6351/3689/6846/4267/5479/301/5880/58515/6348/2207/11314/57580/101/682/5594/5478/6349/5473/5196/5197/9750",22
"GO:0002708","GO:0002708","positive regulation of lymphocyte mediated immunity","20/408","126/18614",4.1768134228432e-12,4.25617287787722e-10,3.11612264572644e-10,"3824/3107/3106/3105/567/975/5788/22914/7040/3133/30009/259197/3123/3134/22890/117157/3823/11126/10666/3916",20
"GO:0050870","GO:0050870","positive regulation of T cell activation","27/408","249/18614",8.39129848890821e-12,8.34217869287557e-10,6.10765884879455e-10,"6352/3458/3105/567/864/3956/975/5788/22914/60/3561/1326/3115/3133/3113/3123/301/2534/3146/22890/58515/387/11126/7704/4067/101/7535",27
"GO:0001819","GO:0001819","positive regulation of cytokine production","38/408","489/18614",1.43975052760649e-11,1.39724360726763e-09,1.02298063803619e-09,"3458/1535/3105/2214/7305/567/10417/975/5788/22914/5295/149628/7040/3115/3133/30009/3113/3320/3134/2597/301/3659/3146/4155/6095/58515/6348/2207/11126/2149/10666/101/6693/7294/1051/11118/5196/1191",38
"GO:0002274","GO:0002274","myeloid leukocyte activation","26/408","240/18614",2.10586660861287e-11,1.9876657695402e-09,1.45525346228151e-09,"6352/8530/3458/2214/7305/3689/5788/1075/301/3146/6095/5880/3725/6348/5730/2207/1524/5729/11314/3684/4067/57580/10666/8673/1191/8773",26
"GO:0042269","GO:0042269","regulation of natural killer cell mediated cytotoxicity","13/408","48/18614",2.14566471687363e-11,1.9876657695402e-09,1.45525346228151e-09,"3824/3820/3106/3105/22914/7040/3133/259197/3134/3823/11126/10666/3916",13
"GO:0030595","GO:0030595","leukocyte chemotaxis","26/408","241/18614",2.31362502319215e-11,2.09563013211804e-09,1.53429869959058e-09,"6352/6351/3689/6846/22914/5479/301/1843/3146/811/5880/6348/7852/2207/1524/4067/57580/101/682/5594/5478/6349/5473/5196/5197/9750",26
"GO:0002429","GO:0002429","immune response-activating cell surface receptor signaling pathway","29/408","302/18614",2.83133523673518e-11,2.50880922281143e-09,1.83680443847694e-09,"3824/28526/1535/3105/7305/919/6967/975/5788/925/22914/3115/259197/3123/2534/4792/2207/3823/11126/11314/4067/10666/9473/5594/7294/7535/28639/8631/11118",29
"GO:0050852","GO:0050852","T cell receptor signaling pathway","20/408","140/18614",3.06660545711895e-11,2.65946464749294e-09,1.947105592594e-09,"28526/3105/919/6967/975/5788/925/3115/3123/2534/11126/11314/10666/9473/5594/7294/7535/28639/8631/11118",20
"GO:0070661","GO:0070661","leukocyte proliferation","31/408","348/18614",3.97016791955709e-11,3.36477444589471e-09,2.46349247304155e-09,"6352/3105/2214/7305/975/5788/4478/3115/3133/3113/3123/301/3659/2534/3146/7133/2950/22806/5880/58515/11314/4067/5594/5699/6693/684/1051/7535/896/1191/3726",31
"GO:0007229","GO:0007229","integrin-mediated signaling pathway","18/408","112/18614",4.04499381375958e-11,3.36477444589471e-09,2.46349247304155e-09,"3689/5341/2316/967/3683/7094/3688/3676/4627/3684/5786/7294/998/3695/80739/3987/83706/7076",18
"GO:0070527","GO:0070527","platelet aggregation","15/408","73/18614",4.57894911052424e-11,3.71039803699741e-09,2.71653799775003e-09,"5341/2316/60/1192/10627/7094/4627/4067/71/5478/81027/10398/7414/83706/2778",15
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway","30/408","329/18614",4.6526194135381e-11,3.71039803699741e-09,2.71653799775003e-09,"3824/28526/1535/3105/2214/7305/919/6967/975/5788/925/22914/3115/259197/3123/2534/4792/2207/3823/11126/11314/4067/10666/9473/5594/7294/7535/28639/8631/11118",30
"GO:0042060","GO:0042060","wound healing","35/408","439/18614",4.73357943876019e-11,3.71039803699741e-09,2.71653799775003e-09,"5341/2316/60/1192/7040/79026/10627/389/7094/301/6281/3688/23499/387/4627/7852/2207/4067/2149/71/7294/5478/309/5196/2812/81027/2815/10398/340205/80739/2162/7414/83706/7076/2778",35
"GO:1990266","GO:1990266","neutrophil migration","19/408","128/18614",4.85521797430136e-11,3.73393744589667e-09,2.73377218612599e-09,"6352/6351/3689/6846/4267/5479/5880/58515/6348/2207/57580/101/682/5478/6349/5473/5196/5197/9750",19
