"source","target","pathway_name","prob","pval"
"FCGR3A+ Macrophage cells","FCAR+ Macrophage cells","ICAM",0.00275765363433448,0
"FCGR3A+ Macrophage cells","FCAR+ Macrophage cells","ITGB2",0.000813929018819624,0
"FCGR3A+ Macrophage cells","FCAR+ Macrophage cells","MHC-I",0.00386228790570356,0
"FCGR3A+ Macrophage cells","FCAR+ Macrophage cells","MHC-II",0.00967443704523385,0
"FCGR3A+ Macrophage cells","FCAR+ Macrophage cells","MPZ",7.04942585009067e-10,0
"FCGR3A+ Macrophage cells","FCAR+ Macrophage cells","NOTCH",7.5798913155528e-08,0
"FCGR3A+ Macrophage cells","FCAR+ Macrophage cells","OCLN",4.543490789262e-10,0
"FCGR3A+ Macrophage cells","FCAR+ Macrophage cells","PECAM1",0.00142779587956613,0
"FCGR3A+ Macrophage cells","FCAR+ Macrophage cells","SELPLG",0.000821396949616864,0
"FCGR3A+ Macrophage cells","FCAR+ Macrophage cells","SEMA4",4.96802305801775e-05,0
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","ADGRE5",5.67643546683794e-05,0
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","APP",3.13252448674986e-08,0
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","CD23",7.25960654294794e-08,0
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","CD40",1.90954763646443e-12,0
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","CD46",8.88519050108045e-09,0
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","CD48",3.77158296980826e-08,0
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","CD80",3.60971124672493e-08,0
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","CD86",1.29453094049409e-06,0
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","CDH",2.6005379695543e-12,0
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","EPHA",5.48119273985569e-11,0
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","EPHB",1.95127589171723e-10,0
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","GP1BA",1.12952541324198e-07,0
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","ICAM",0.000222644921114877,0
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","ITGB2",0.000120766329453367,0
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","MHC-I",0.000327119466964209,0
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","MHC-II",0.000834102244214929,0
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","MPZ",6.63343474399886e-11,0
