"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"FCAR+ Macrophage cells","Natural killer cells","PTPRC","CD22",1.3902006840968e-05,0,"PTPRC_CD22","PTPRC - CD22","CD45","Cell-Cell Contact","PMID: 12115612"
"FCGR3A+ Macrophage cells","Natural killer cells","PTPRC","CD22",1.02045427507231e-06,0,"PTPRC_CD22","PTPRC - CD22","CD45","Cell-Cell Contact","PMID: 12115612"
"Natural killer cells","Natural killer cells","PTPRC","CD22",6.83975568076407e-06,0,"PTPRC_CD22","PTPRC - CD22","CD45","Cell-Cell Contact","PMID: 12115612"
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","CD46","JAG1",2.18501721355503e-06,0,"CD46_JAG1","CD46 - JAG1","CD46","Cell-Cell Contact","PMID: 23086448"
"FCGR3A+ Macrophage cells","FCAR+ Macrophage cells","CD46","JAG1",1.43070162619371e-07,0,"CD46_JAG1","CD46 - JAG1","CD46","Cell-Cell Contact","PMID: 23086448"
"FCAR+ Macrophage cells","FCGR3A+ Macrophage cells","CD46","JAG1",1.35697715278628e-07,0,"CD46_JAG1","CD46 - JAG1","CD46","Cell-Cell Contact","PMID: 23086448"
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","CD46","JAG1",8.88519050108045e-09,0,"CD46_JAG1","CD46 - JAG1","CD46","Cell-Cell Contact","PMID: 23086448"
"FCGR3A+ Macrophage cells","FCAR+ Macrophage cells","CD48","CD244",3.44110479703838e-07,0,"CD48_CD244A","CD48 - CD244A","CD48","Cell-Cell Contact","PMID: 26697006"
"Natural killer cells","FCAR+ Macrophage cells","CD48","CD244",2.04695387909811e-06,0,"CD48_CD244A","CD48 - CD244A","CD48","Cell-Cell Contact","PMID: 26697006"
"FCAR+ Macrophage cells","FCGR3A+ Macrophage cells","CD48","CD244",2.22785725304904e-07,0,"CD48_CD244A","CD48 - CD244A","CD48","Cell-Cell Contact","PMID: 26697006"
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","CD48","CD244",3.77158296980826e-08,0,"CD48_CD244A","CD48 - CD244A","CD48","Cell-Cell Contact","PMID: 26697006"
"Natural killer cells","FCGR3A+ Macrophage cells","CD48","CD244",2.24354949389554e-07,0,"CD48_CD244A","CD48 - CD244A","CD48","Cell-Cell Contact","PMID: 26697006"
"FCGR3A+ Macrophage cells","Natural killer cells","CD48","CD244",1.479022083999e-07,0,"CD48_CD244A","CD48 - CD244A","CD48","Cell-Cell Contact","PMID: 26697006"
"Natural killer cells","Natural killer cells","CD6","ALCAM",7.53172558722433e-05,0,"CD6_ALCAM","CD6 - ALCAM","CD6","Cell-Cell Contact","PMID: 23602662"
"FCGR3A+ Macrophage cells","FCAR+ Macrophage cells","CD80","CD28",1.03951214384796e-08,0,"CD80_CD28","CD80 - CD28","CD80","Cell-Cell Contact","PMID: 23954143"
"FCAR+ Macrophage cells","FCGR3A+ Macrophage cells","CD80","CD28",6.91964531569449e-09,0,"CD80_CD28","CD80 - CD28","CD80","Cell-Cell Contact","PMID: 23954143"
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","CD80","CD28",1.53793938538432e-09,0,"CD80_CD28","CD80 - CD28","CD80","Cell-Cell Contact","PMID: 23954143"
"FCGR3A+ Macrophage cells","Natural killer cells","CD80","CD28",9.91305899972888e-09,0,"CD80_CD28","CD80 - CD28","CD80","Cell-Cell Contact","PMID: 23954143"
"FCGR3A+ Macrophage cells","FCAR+ Macrophage cells","CD80","CTLA4",1.5209349358658e-07,0,"CD80_CTLA4","CD80 - CTLA4","CD80","Cell-Cell Contact","PMID: 23954143"
"FCAR+ Macrophage cells","FCGR3A+ Macrophage cells","CD80","CTLA4",1.55494460177067e-07,0,"CD80_CTLA4","CD80 - CTLA4","CD80","Cell-Cell Contact","PMID: 23954143"
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","CD80","CTLA4",3.4559173081865e-08,0,"CD80_CTLA4","CD80 - CTLA4","CD80","Cell-Cell Contact","PMID: 23954143"
"FCGR3A+ Macrophage cells","FCAR+ Macrophage cells","CD86","CD28",3.73085286149848e-07,0,"CD86_CD28","CD86 - CD28","CD86","Cell-Cell Contact","PMID: 23954143"
"FCAR+ Macrophage cells","FCGR3A+ Macrophage cells","CD86","CD28",2.36835664789535e-07,0,"CD86_CD28","CD86 - CD28","CD86","Cell-Cell Contact","PMID: 23954143"
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","CD86","CD28",5.51961558417158e-08,0,"CD86_CD28","CD86 - CD28","CD86","Cell-Cell Contact","PMID: 23954143"
"FCGR3A+ Macrophage cells","Natural killer cells","CD86","CD28",3.55781182195491e-07,0,"CD86_CD28","CD86 - CD28","CD86","Cell-Cell Contact","PMID: 23954143"
"FCGR3A+ Macrophage cells","FCAR+ Macrophage cells","CD86","CTLA4",5.45748305021416e-06,0,"CD86_CTLA4","CD86 - CTLA4","CD86","Cell-Cell Contact","PMID: 23954143"
"FCAR+ Macrophage cells","FCGR3A+ Macrophage cells","CD86","CTLA4",5.32085639425072e-06,0,"CD86_CTLA4","CD86 - CTLA4","CD86","Cell-Cell Contact","PMID: 23954143"
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","CD86","CTLA4",1.23933478465238e-06,0,"CD86_CTLA4","CD86 - CTLA4","CD86","Cell-Cell Contact","PMID: 23954143"
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","CD99","PILRA",0.0136840367727879,0,"CD99_PILRA","CD99 - PILRA","CD99","Cell-Cell Contact","PMID: 18234675"
"Natural killer cells","FCAR+ Macrophage cells","CD99","PILRA",0.0109211448668402,0,"CD99_PILRA","CD99 - PILRA","CD99","Cell-Cell Contact","PMID: 18234675"
"FCAR+ Macrophage cells","FCGR3A+ Macrophage cells","CD99","PILRA",0.00175641285509622,0,"CD99_PILRA","CD99 - PILRA","CD99","Cell-Cell Contact","PMID: 18234675"
"Natural killer cells","FCGR3A+ Macrophage cells","CD99","PILRA",0.00138929266970974,0,"CD99_PILRA","CD99 - PILRA","CD99","Cell-Cell Contact","PMID: 18234675"
"Natural killer cells","Natural killer cells","CD99","CD99",0.0118493805045557,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","CDH2","CDH2",5.80350123043299e-10,0,"CDH2_CDH2","CDH2 - CDH2","CDH","Cell-Cell Contact","KEGG: hsa04514"
"FCGR3A+ Macrophage cells","FCAR+ Macrophage cells","CDH2","CDH2",3.88487133713701e-11,0,"CDH2_CDH2","CDH2 - CDH2","CDH","Cell-Cell Contact","KEGG: hsa04514"
"Natural killer cells","FCAR+ Macrophage cells","CDH2","CDH2",3.83153230478716e-10,0,"CDH2_CDH2","CDH2 - CDH2","CDH","Cell-Cell Contact","KEGG: hsa04514"
"FCAR+ Macrophage cells","FCGR3A+ Macrophage cells","CDH2","CDH2",3.88487133713701e-11,0,"CDH2_CDH2","CDH2 - CDH2","CDH","Cell-Cell Contact","KEGG: hsa04514"
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","CDH2","CDH2",2.6005379695543e-12,0,"CDH2_CDH2","CDH2 - CDH2","CDH","Cell-Cell Contact","KEGG: hsa04514"
"Natural killer cells","FCGR3A+ Macrophage cells","CDH2","CDH2",2.56483275132609e-11,0,"CDH2_CDH2","CDH2 - CDH2","CDH","Cell-Cell Contact","KEGG: hsa04514"
"FCAR+ Macrophage cells","Natural killer cells","CDH2","CDH2",3.83153230478716e-10,0,"CDH2_CDH2","CDH2 - CDH2","CDH","Cell-Cell Contact","KEGG: hsa04514"
"FCGR3A+ Macrophage cells","Natural killer cells","CDH2","CDH2",2.56483275132609e-11,0,"CDH2_CDH2","CDH2 - CDH2","CDH","Cell-Cell Contact","KEGG: hsa04514"
"Natural killer cells","Natural killer cells","CDH2","CDH2",2.52961776343573e-10,0,"CDH2_CDH2","CDH2 - CDH2","CDH","Cell-Cell Contact","KEGG: hsa04514"
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","CDH5","CDH5",3.1381793474604e-09,0,"CDH5_CDH5","CDH5 - CDH5","CDH5","Cell-Cell Contact","KEGG: hsa04514"
"Natural killer cells","Natural killer cells","CLEC2D","KLRB1",0.00145085549370839,0,"CLEC2D_KLRB1","CLEC2D - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"FCAR+ Macrophage cells","Natural killer cells","CLEC2B","KLRB1",0.00776495344211584,0,"CLEC2B_KLRB1","CLEC2B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"FCGR3A+ Macrophage cells","Natural killer cells","CLEC2B","KLRB1",0.000895401004301677,0,"CLEC2B_KLRB1","CLEC2B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Natural killer cells","Natural killer cells","CLEC2B","KLRB1",0.00506955247799195,0,"CLEC2B_KLRB1","CLEC2B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"FCAR+ Macrophage cells","Natural killer cells","CD69","KLRB1",0.00222225243920268,0,"CLEC2C_KLRB1","CLEC2C - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"FCGR3A+ Macrophage cells","Natural killer cells","CD69","KLRB1",0.000145539997722414,0,"CLEC2C_KLRB1","CLEC2C - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Natural killer cells","Natural killer cells","CD69","KLRB1",0.012366877769426,0,"CLEC2C_KLRB1","CLEC2C - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Natural killer cells","FCAR+ Macrophage cells","EFNA1","EPHA2",4.34539112242071e-10,0,"EFNA1_EPHA2","EFNA1 - EPHA2","EPHA","Cell-Cell Contact","PMID: 15114347"
