"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"HSP90B1",1.97382350625359e-28,0.260767786035622,0.89,0.877,4.56288779940643e-24,"2","HSP90B1"
"SNHG51",1.53162345228578e-26,0.28972573344355,0.875,0.865,3.54065393464903e-22,"2","SNHG5"
"CLEC2B",4.73575340744185e-26,0.263496974047011,0.67,0.618,1.09476411519833e-21,"2","CLEC2B"
"CST3",1.73930359320814e-25,0.352095190675628,0.994,0.996,4.02074811641927e-21,"2","CST3"
"FCGR3A",0,3.52774591034174,0.982,0.124,0,"3","FCGR3A"
"CDKN1C",0,2.86001734133173,0.808,0.084,0,"3","CDKN1C"
"IFITM3",0,2.19837471252904,0.913,0.696,0,"3","IFITM3"
"LST1",0,1.91782625336732,1,0.988,0,"3","LST1"
"RHOC",0,1.86759109843395,0.814,0.145,0,"3","RHOC"
"IFITM2",0,1.81418306773704,0.994,0.902,0,"3","IFITM2"
"C1QA",0,1.75109992683064,0.331,0.027,0,"3","C1QA"
"HES4",0,1.59147888738775,0.667,0.084,0,"3","HES4"
"SMIM25",0,1.58175198897052,0.919,0.394,0,"3","SMIM25"
"MS4A7",0,1.54988857751308,0.975,0.685,0,"3","MS4A7"
"TCF7L2",0,1.50010840226514,0.884,0.285,0,"3","TCF7L2"
"COTL1",0,1.42242103951102,1,0.983,0,"3","COTL1"
"CALHM6",0,1.38226717686836,0.797,0.393,0,"3","CALHM6"
"AIF1",0,1.37903000132907,0.999,0.998,0,"3","AIF1"
"RRAS",0,1.3501356263286,0.847,0.244,0,"3","RRAS"
"MTSS1",0,1.25907849858533,0.81,0.208,0,"3","MTSS1"
"SERPINA11",0,1.25001132348045,0.997,0.827,0,"3","SERPINA1"
"NAP1L11",0,1.24653022606396,0.99,0.964,0,"3","NAP1L1"
"IFI301",0,1.22087786303243,1,0.96,0,"3","IFI30"
"LILRB21",0,1.21510073471429,0.966,0.656,0,"3","LILRB2"
"FCER1G1",0,1.21195276653017,1,0.974,0,"3","FCER1G"
"TNFRSF1B1",0,1.16021840722281,0.984,0.777,0,"3","TNFRSF1B"
"DRAP1",0,1.13691651408859,0.943,0.747,0,"3","DRAP1"
"CD481",0,1.13507806908704,0.942,0.68,0,"3","CD48"
"LYN1",0,1.12687047266387,0.99,0.867,0,"3","LYN"
"CSF1R",0,1.12190991270875,0.76,0.243,0,"3","CSF1R"
"LRRC25",0,1.10822626317733,0.832,0.33,0,"3","LRRC25"
"CTSL",0,1.09714613115244,0.721,0.251,0,"3","CTSL"
"HMOX1",0,1.09128033783679,0.72,0.241,0,"3","HMOX1"
"FTL1",0,1.02444529828417,1,1,0,"3","FTL"
"FTH11",0,0.973776220075099,1,1,0,"3","FTH1"
"PSAP1",0,0.973172520540086,1,0.959,0,"3","PSAP"
"LILRB1",0,0.967039029193385,0.728,0.259,0,"3","LILRB1"
"SIGLEC10",0,0.951164829027225,0.665,0.159,0,"3","SIGLEC10"
"S100A111",0,0.949065531675608,1,0.981,0,"3","S100A11"
"CD79B",0,0.947440713097349,0.58,0.111,0,"3","CD79B"
"CALML4",0,0.925807480797044,0.636,0.152,0,"3","CALML4"
"CKB",0,0.925104051891978,0.42,0.036,0,"3","CKB"
"RPS192",0,0.924368413667996,1,1,0,"3","RPS19"
"ABI3",0,0.848092222247194,0.563,0.101,0,"3","ABI3"
"YBX11",0,0.828320847606739,1,0.997,0,"3","YBX1"
"SECTM1",0,0.770643820417362,0.629,0.185,0,"3","SECTM1"
"ZNF703",0,0.738782548969743,0.452,0.09,0,"3","ZNF703"
"TMSB4X",0,0.73039476419873,1,1,0,"3","TMSB4X"
"BATF3",0,0.671498673702093,0.427,0.048,0,"3","BATF3"
"B2M",0,0.660022045376981,1,1,0,"3","B2M"
"LINC02432",0,0.599137750429694,0.367,0.055,0,"3","LINC02432"
"AC104809.2",0,0.501727964197352,0.287,0.018,0,"3","AC104809.2"
"NEURL1",0,0.456894201416565,0.277,0.017,0,"3","NEURL1"
"CHST7",0,0.402372125784561,0.299,0.044,0,"3","CHST7"
"PTP4A2",1.38783398238163e-303,0.889099836127459,0.994,0.95,3.20825581707161e-299,"3","PTP4A2"
"CTSC",5.58323456192584e-298,1.04583743445415,0.924,0.703,1.2906763336804e-293,"3","CTSC"
"MT2A",7.48084814793018e-292,1.7255708457559,0.93,0.671,1.72934766635702e-287,"3","MT2A"
"PECAM1",1.38541745042082e-291,1.09955136974593,0.897,0.625,3.20266952013782e-287,"3","PECAM1"
"MBD21",4.28272129509042e-284,0.932895299002476,0.942,0.721,9.90036681786053e-280,"3","MBD2"
"BID",7.07832197149895e-284,0.955431222970552,0.906,0.665,1.63629569015141e-279,"3","BID"
"ADA",2.87090937508122e-282,0.512669441570985,0.446,0.109,6.63668120237526e-278,"3","ADA"
"CXCL16",1.74152981506138e-281,0.799983949543849,0.664,0.247,4.02589447347739e-277,"3","CXCL16"
"NPC21",2.62285063904406e-281,0.802359688830314,0.998,0.945,6.06324382227816e-277,"3","NPC2"
"RNASET2",2.14231097861237e-279,0.891960454755989,0.972,0.877,4.95238028925823e-275,"3","RNASET2"
"CAMK1",6.18598621363519e-279,0.708175106208564,0.636,0.222,1.43001443300605e-274,"3","CAMK1"
"UNC119",4.18107033089201e-277,0.748636777392617,0.645,0.24,9.66538028392307e-273,"3","UNC119"
"PAG1",1.92251606119766e-276,0.783382320817313,0.637,0.23,4.44428037867062e-272,"3","PAG1"
"WARS1",5.71412653712281e-276,0.992441338207411,0.853,0.483,1.32093463158668e-271,"3","WARS"
"POU2F2",9.08637979497546e-275,1.0425973847102,0.913,0.639,2.10049841720448e-270,"3","POU2F2"
"ARPC2",2.50097458192033e-274,0.697743440476494,1,0.993,5.78150294102522e-270,"3","ARPC2"
"NR4A1",2.25619052417023e-272,1.0947853725202,0.786,0.374,5.21563563472431e-268,"3","NR4A1"
"LY6E",3.17413084453099e-269,1.12527406351032,0.914,0.666,7.33763827330228e-265,"3","LY6E"
"CX3CR1",3.14349123341314e-267,0.754745673377596,0.502,0.148,7.26680868428116e-263,"3","CX3CR1"
"MS4A4A",2.04258942940479e-264,0.575705784634244,0.394,0.094,4.72185398395506e-260,"3","MS4A4A"
"SPI1",2.63696298302884e-261,0.805545231696955,0.991,0.923,6.09586732786777e-257,"3","SPI1"
"CDH23",1.58008734457344e-260,0.46948451020069,0.346,0.074,3.65268791445041e-256,"3","CDH23"
"ST3GAL5",2.23348181951481e-258,0.65070218988711,0.539,0.171,5.16313992217239e-254,"3","ST3GAL5"
"LILRA51",1.33969406815713e-255,0.852558904707925,0.769,0.357,3.09697077735883e-251,"3","LILRA5"
"PHTF2",2.55702475432417e-252,0.598064408919614,0.51,0.158,5.91107412457119e-248,"3","PHTF2"
"PPM1N",3.99576319637341e-251,0.58232376441756,0.294,0.057,9.23700578105642e-247,"3","PPM1N"
"SAT11",4.79850051396175e-250,0.809955836726269,1,0.991,1.10926936381254e-245,"3","SAT1"
"HLA-E",3.62743587696207e-246,0.754416852009075,0.998,0.978,8.38554351677321e-242,"3","HLA-E"
"EMP3",3.91489620977345e-244,0.777450283665392,1,0.991,9.05006556813329e-240,"3","EMP3"
"PHF19",1.43347801335711e-242,0.590459878026358,0.476,0.143,3.31377112347762e-238,"3","PHF19"
"PCGF5",3.68136931534814e-240,0.732212973321787,0.651,0.272,8.51022144629029e-236,"3","PCGF5"
"SEPTIN9",4.57542149314531e-239,0.816172604142362,0.819,0.463,1.0577001865704e-234,"3","SEPTIN9"
"PFN11",4.52279415603587e-238,0.653581302213083,1,0.999,1.04553432505081e-233,"3","PFN1"
"VASP",9.24988749187163e-238,0.812015836355382,0.962,0.818,2.13829649149596e-233,"3","VASP"
"ARPC3",4.42575548982611e-236,0.593591622161543,1,0.999,1.0231018965831e-231,"3","ARPC3"
"LFNG",9.25856142052937e-236,0.610568433674024,0.558,0.192,2.14030164358377e-231,"3","LFNG"
"MTPN",1.11272198273957e-233,0.812628626076522,0.975,0.901,2.57227940749908e-229,"3","MTPN"
"TIMP1",4.50699898126524e-230,1.08006532928428,0.977,0.904,1.04188295449908e-225,"3","TIMP1"
"PRELID1",2.02321662937618e-229,0.871694136495136,0.968,0.863,4.6770698821289e-225,"3","PRELID1"
"TAGLN",1.2302096637668e-223,0.40669307084613,0.296,0.062,2.8438756797297e-219,"3","TAGLN"
"KLF3",3.81212219050947e-221,0.923000975861844,0.85,0.567,8.81248286780074e-217,"3","KLF3"
"OAS1",5.88352500335745e-220,0.635644830259389,0.57,0.21,1.36009447502614e-215,"3","OAS1"
"GPBAR1",3.39765225914769e-219,0.645465225565384,0.55,0.199,7.85435272747172e-215,"3","GPBAR1"
"RAP1B1",7.45167077223917e-216,0.811568999179387,0.99,0.913,1.72260273241853e-211,"3","RAP1B"
"OAZ1",9.04726456146278e-216,0.550318447631718,1,1,2.09145614867335e-211,"3","OAZ1"
"LILRA1",4.34996930967043e-214,0.652905751549819,0.601,0.24,1.00558240531651e-209,"3","LILRA1"
"NAAA",5.88188013233611e-213,0.829833828526813,0.727,0.368,1.35971423019214e-208,"3","NAAA"
"SIDT2",1.98987368815058e-210,0.54847285336577,0.434,0.133,4.59999100489769e-206,"3","SIDT2"
"MYL6",4.46932451549376e-209,0.570537574277164,1,1,1.03317374824669e-204,"3","MYL6"
"MAPKAPK3",5.74774843988178e-209,0.684602024453629,0.71,0.342,1.32870700684747e-204,"3","MAPKAPK3"
"HES1",9.70127835836432e-209,0.985028413542619,0.345,0.087,2.24264451810308e-204,"3","HES1"
"CSK",8.36715226669888e-208,0.729233052223309,0.857,0.569,1.93423458949278e-203,"3","CSK"
"PSMB9",4.12364425553048e-207,0.840361652406154,0.869,0.63,9.5326284255098e-203,"3","PSMB9"
"C5AR11",1.082894023827e-203,0.920381639805078,0.972,0.759,2.50332611488087e-199,"3","C5AR1"
"CALM2",1.54689307666763e-203,0.681546741227768,0.997,0.966,3.57595272533255e-199,"3","CALM2"
"PILRA1",2.18864887421085e-203,0.812217533021696,0.877,0.642,5.05949960251323e-199,"3","PILRA"
"HLA-DPA11",1.30583409863818e-200,0.711524490455879,0.992,0.928,3.01869668582189e-196,"3","HLA-DPA1"
"SPN1",2.19491614871903e-199,0.820991028022075,0.808,0.482,5.07398766099377e-195,"3","SPN"
"ICAM4",4.31119452190313e-199,0.365272951740071,0.269,0.057,9.96618837628346e-195,"3","ICAM4"
"CARD161",6.59698492131777e-198,0.721897524474694,0.963,0.799,1.52502500426103e-193,"3","CARD16"
"ASAH11",1.64672802300527e-197,0.653757766782235,0.99,0.945,3.80674117078128e-193,"3","ASAH1"
"AC064805.1",1.36482131272742e-195,0.342928985311576,0.27,0.058,3.15505742863197e-191,"3","AC064805.1"
"HSBP1",6.09688986469146e-195,0.769439678808455,0.902,0.719,1.40941803002072e-190,"3","HSBP1"
"ACTB",2.1288756137912e-194,0.534836781554208,1,1,4.92132175640111e-190,"3","ACTB"
"SCIMP",2.5782539399576e-194,0.637425588163638,0.634,0.279,5.96014963299998e-190,"3","SCIMP"
"TYROBP1",1.06485849863174e-190,0.554895769020795,1,0.997,2.46163339128698e-186,"3","TYROBP"
"ICAM2",6.54744953416028e-190,0.53026837218629,0.6,0.242,1.51357390881183e-185,"3","ICAM2"
"MYL12B",6.20024100985642e-189,0.622447842719577,0.988,0.958,1.43330971424851e-184,"3","MYL12B"
"AL139246.5",1.60967342215389e-188,0.532397874926868,0.436,0.141,3.72108204999314e-184,"3","AL139246.5"
"NACA1",4.78025102691659e-187,0.541955502319527,1,1,1.10505062989231e-182,"3","NACA"
"PSME2",2.50875327752604e-186,0.738998195327002,0.942,0.821,5.79948495165694e-182,"3","PSME2"
"MSN",4.52565468643601e-185,0.677390171812268,0.981,0.903,1.04619559386341e-180,"3","MSN"
"MSR1",3.29117935282137e-184,0.421451078189332,0.297,0.072,7.60821930991717e-180,"3","MSR1"
"TSPAN14",3.83610775172361e-184,0.655309235286712,0.637,0.291,8.86793028965947e-180,"3","TSPAN14"
"FKBP1A",2.88551579297444e-183,0.628604750112003,0.97,0.896,6.67044685861901e-179,"3","FKBP1A"
"SLC2A6",2.61771082048603e-181,0.595834023990865,0.511,0.196,6.05136210371755e-177,"3","SLC2A6"
"RHOA",1.51621028477118e-180,0.560437844752958,0.997,0.979,3.50502331530553e-176,"3","RHOA"
"SEC14L1",1.00446431590507e-179,0.654983441959825,0.684,0.338,2.32202015907775e-175,"3","SEC14L1"
"S100A4",3.09317046350017e-177,0.634721658459131,1,0.997,7.15048216047334e-173,"3","S100A4"
"TESC",7.30248368884145e-177,0.7373379022856,0.672,0.339,1.68811515434948e-172,"3","TESC"
"ITGAL",2.82147326733855e-175,0.658735828204912,0.785,0.441,6.52239975210653e-171,"3","ITGAL"
"CD300A",5.07417439111509e-174,0.617503692640438,0.598,0.266,1.17299689399407e-169,"3","CD300A"
"WASF2",8.06204603213057e-174,0.664528129712175,0.928,0.787,1.86370318124762e-169,"3","WASF2"
"LTB1",2.2014934601007e-172,0.461434876099993,0.538,0.201,5.08919243171478e-168,"3","LTB"
"SLC44A2",2.50918451271472e-171,0.441840429203188,0.38,0.118,5.80048183804262e-167,"3","SLC44A2"
