"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002757","GO:0002757","immune response-activating signaling pathway","47/578","423/18614",3.30442732404861e-14,9.54359916526789e-12,7.2588702861831e-12,"2207/4067/974/100/4938/7867/1445/728/388325/7305/6397/11314/1520/118788/3055/2633/5788/4615/29108/27202/5777/834/5795/961/330/23180/64005/146722/3115/64581/409/719/81622/695/2268/148022/2219/4940/2874/4814/7124/11027/5058/3958/3123/8780/7430",47
"GO:0008154","GO:0008154","actin polymerization or depolymerization","31/578","192/18614",4.35134206155029e-14,1.18279715684846e-11,8.9963660331371e-12,"23406/199/7114/10109/5216/7408/10094/136319/387/51466/26999/3055/10092/832/11151/29108/3059/1072/9168/11034/51429/2059/6840/23616/9948/10456/23075/29766/10093/829/85464",31
"GO:0002831","GO:0002831","regulation of response to biotic stimulus","49/578","463/18614",6.04988924823567e-14,1.55314101200539e-11,1.18132047952391e-11,"4067/10859/6223/6688/3133/4938/7867/114769/388325/7305/6397/11314/1520/118788/3055/29800/3965/9636/4615/29108/5777/834/330/3106/3134/10875/60489/23180/146722/64581/409/81622/695/2268/148022/2219/1612/4940/2874/4814/7124/11027/5058/5770/3123/8780/3320/58515/4780",49
"GO:0006909","GO:0006909","phagocytosis","34/578","236/18614",7.9455157307362e-14,1.93243306272274e-11,1.46981036149187e-11,"199/2207/4067/5175/1445/7305/4481/3683/11314/3055/5788/4615/11151/51411/29108/998/5795/961/6647/3688/64005/1794/146722/64581/64422/1130/23616/695/2268/5914/5199/2219/7124/5058",34
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","34/578","239/18614",1.15661285966698e-13,2.67235401226056e-11,2.03259491496213e-11,"2214/7940/199/10288/7133/4067/10859/637/100/3133/3280/3113/6693/7305/11314/5585/1051/5788/3965/4615/11151/29108/83593/64115/5777/8764/942/3115/695/148022/5880/3958/3123/58515",34
"GO:0043254","GO:0043254","regulation of protein-containing complex assembly","45/578","409/18614",1.69286442759343e-13,3.72510786662346e-11,2.8333204630248e-11,"389/23406/7114/637/10109/5216/7408/10094/136319/5908/3280/4478/387/51466/26999/3055/10092/832/9636/4615/11151/51673/29108/3059/998/9168/51429/55737/2059/6840/5899/64581/695/10456/148022/29766/7124/5058/3958/3312/5734/8780/3320/829/85464",45
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","34/578","243/18614",1.88980923655598e-13,3.96945840096599e-11,3.01917370376097e-11,"2214/7940/199/10288/7133/4067/10859/637/100/3133/3280/3113/6693/7305/11314/5585/1051/5788/3965/4615/11151/29108/83593/64115/5777/8764/942/3115/695/148022/5880/3958/3123/58515",34
"GO:0002253","GO:0002253","activation of immune response","50/578","495/18614",2.01942410492648e-13,4.05728642994143e-11,3.08597578322633e-11,"712/2207/4067/974/100/4938/7867/1445/728/388325/7305/6397/11314/1520/118788/3055/2633/5788/4615/29108/27202/5777/834/5795/961/330/23180/64005/146722/3115/64581/409/719/81622/695/2268/148022/5199/2219/4940/2874/4814/7124/11027/5058/3958/3123/8780/3320/7430",50
"GO:0002275","GO:0002275","myeloid cell activation involved in immune response","22/578","98/18614",2.2187896253134e-13,4.2720945244055e-11,3.24935901707080e-11,"2207/4067/3162/1524/6688/7305/11314/6813/3965/4615/30817/29108/5777/1794/8773/695/2268/148022/867/5880/7124/11027",22
"GO:0045088","GO:0045088","regulation of innate immune response","42/578","373/18614",5.16351726229894e-13,9.54424530763336e-11,7.25936174265943e-11,"4067/10859/6223/6688/3133/4938/7867/388325/7305/6397/11314/1520/118788/3055/3965/9636/4615/29108/5777/834/330/3106/3134/23180/146722/64581/409/81622/695/2268/148022/2219/4940/2874/4814/7124/11027/5058/5770/8780/3320/4780",42
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","35/578","268/18614",6.55699722136956e-13,1.16538015999803e-10,8.86389219520363e-11,"2214/7940/199/10288/7133/4067/1436/10859/637/100/3133/3280/3113/6693/7305/11314/5585/1051/5788/3965/4615/11151/29108/83593/64115/5777/8764/942/3115/695/148022/5880/3958/3123/58515",35
"GO:0019882","GO:0019882","antigen processing and presentation","23/578","114/18614",7.01977012741625e-13,1.20142065773298e-10,9.13801655182958e-11,"10437/10288/2207/1514/567/3133/3113/1520/968/3107/10890/5720/29108/3106/3134/5696/10875/23180/3115/4012/81622/3123/3127",23
"GO:0050863","GO:0050863","regulation of T cell activation","42/578","377/18614",7.39237718475568e-13,1.22000624895557e-10,9.27937872928542e-11,"199/10288/7133/4067/10859/567/637/100/55824/3133/27166/3280/1445/3113/6693/60/387/11314/1051/5788/3965/3726/11151/29108/64115/5777/864/8764/961/6647/10875/942/9308/3115/5880/5914/920/3958/3123/58515/9750/3127",42
"GO:0050867","GO:0050867","positive regulation of cell activation","43/578","394/18614",7.88440618249319e-13,1.22909610192441e-10,9.3485162344118e-11,"2214/199/10288/4067/10859/567/1075/100/6688/353514/3133/3280/1445/3113/60/7305/387/5788/3965/4615/11151/29108/64115/5777/864/8764/961/3134/942/9308/3115/64581/695/2268/148022/5914/7124/920/11027/2316/3123/58515/3127",43
"GO:0002685","GO:0002685","regulation of leukocyte migration","32/578","227/18614",7.97941637258869e-13,1.22909610192441e-10,9.3485162344118e-11,"199/4067/1436/3162/100/1524/6688/728/6693/4478/387/11314/3676/3965/4615/11151/29108/27202/8764/961/79890/6793/9435/719/5880/23075/7124/63940/3958/5734/58515/9750",32
"GO:0070661","GO:0070661","leukocyte proliferation","40/578","348/18614",9.70831234829177e-13,1.44716488262762e-10,1.10071493823247e-10,"2214/7940/199/10288/7133/4067/1436/10859/637/100/3133/3280/3113/6693/7305/4478/11314/5585/1051/5788/3965/4615/3726/11151/29108/83593/64115/5777/8764/10312/942/1794/3115/695/148022/5880/3958/3123/58515/5699",40
"GO:0002695","GO:0002695","negative regulation of leukocyte activation","30/578","202/18614",1.06345853101957e-12,1.53570058495044e-10,1.16805527469551e-10,"7940/10288/4067/3162/10859/55824/6688/6693/7305/11314/5585/1051/5788/3965/83593/64115/5777/864/8764/3134/10875/942/146722/374403/695/2268/3958/3123/64092/9750",30
"GO:0002697","GO:0002697","regulation of immune effector process","42/578","384/18614",1.36764730541479e-12,1.9151206661581e-10,1.45664253677192e-10,"7133/4067/3162/10859/6223/567/1524/6688/3133/388325/7305/11314/5585/3107/6813/5788/3965/4615/30817/3726/29108/5777/5795/8764/961/3106/3134/10875/942/64581/409/695/2268/3098/148022/5880/5914/5199/2219/7124/3958/3123",42
