"group","cell_type","n","Percent"
"CR","FCAR+ Macrophage cells",7111,0.372869802317655
"CR","IL32+ Macrophage cells",3655,0.445460085313833
"CR","ELANE+ Macrophage cells",2796,0.715089514066496
"CR","FCGR3A+ Macrophage cells",416,0.33306645316253
"non-CR","FCAR+ Macrophage cells",11960,0.627130197682345
"non-CR","IL32+ Macrophage cells",4550,0.554539914686167
"non-CR","ELANE+ Macrophage cells",1114,0.284910485933504
"non-CR","FCGR3A+ Macrophage cells",833,0.66693354683747
